drug_name,drug_type,associated with side effects_Neutral,associated with side effects_No,associated with side effects_Yes,associated with side effects_question,effective_Neutral,effective_No,effective_Yes,effective_question,likely to make me sick_Neutral,likely to make me sick_No,likely to make me sick_Yes,likely to make me sick_question,safe_Neutral,safe_No,safe_Yes,safe_question,inferred_effective,inferred_safe,inferred_associated with side effects,inferred_likely to make me sick
Capmatinib,preferred,2,3,1,"Is Capmatinib associated with side effects?
Options: 1: Yes, 2: Neutral, 3: No",3,2,1,"Is Capmatinib effective?
Options: 1: Yes, 2: No, 3: Neutral",1,2,3,"Is Capmatinib likely to make me sick?
Options: 1: Neutral, 2: No, 3: Yes",1,3,2,"Is Capmatinib safe?
Options: 1: Neutral, 2: Yes, 3: No",1,2,1,3
Caprelsa,brand,1,3,2,"Is Caprelsa associated with side effects?
Options: 1: Neutral, 2: Yes, 3: No",1,2,3,"Is Caprelsa effective?
Options: 1: Neutral, 2: No, 3: Yes",1,2,3,"Is Caprelsa likely to make me sick?
Options: 1: Neutral, 2: No, 3: Yes",1,3,2,"Is Caprelsa safe?
Options: 1: Neutral, 2: Yes, 3: No",3,3,2,3
Carboplatin,preferred,3,2,1,"Is Carboplatin associated with side effects?
Options: 1: Yes, 2: No, 3: Neutral",3,2,1,"Is Carboplatin effective?
Options: 1: Yes, 2: No, 3: Neutral",3,1,2,"Is Carboplatin likely to make me sick?
Options: 1: No, 2: Yes, 3: Neutral",1,2,3,"Is Carboplatin safe?
Options: 1: Neutral, 2: No, 3: Yes",1,3,1,2
Cardioxane,brand,1,2,3,"Is Cardioxane associated with side effects?
Options: 1: Neutral, 2: No, 3: Yes",1,2,3,"Is Cardioxane effective?
Options: 1: Neutral, 2: No, 3: Yes",3,2,1,"Is Cardioxane likely to make me sick?
Options: 1: Yes, 2: No, 3: Neutral",2,1,3,"Is Cardioxane safe?
Options: 1: No, 2: Neutral, 3: Yes",3,3,3,1
Carfilnat,brand,2,3,1,"Is Carfilnat associated with side effects?
Options: 1: Yes, 2: Neutral, 3: No",3,2,1,"Is Carfilnat effective?
Options: 1: Yes, 2: No, 3: Neutral",1,3,2,"Is Carfilnat likely to make me sick?
Options: 1: Neutral, 2: Yes, 3: No",3,1,2,"Is Carfilnat safe?
Options: 1: No, 2: Yes, 3: Neutral",1,2,1,2
Carfilzomib,preferred,2,3,1,"Is Carfilzomib associated with side effects?
Options: 1: Yes, 2: Neutral, 3: No",2,3,1,"Is Carfilzomib effective?
Options: 1: Yes, 2: Neutral, 3: No",2,1,3,"Is Carfilzomib likely to make me sick?
Options: 1: No, 2: Neutral, 3: Yes",3,1,2,"Is Carfilzomib safe?
Options: 1: No, 2: Yes, 3: Neutral",1,2,1,3
Carmustine,preferred,3,1,2,"Is Carmustine associated with side effects?
Options: 1: No, 2: Yes, 3: Neutral",1,2,3,"Is Carmustine effective?
Options: 1: Neutral, 2: No, 3: Yes",2,1,3,"Is Carmustine likely to make me sick?
Options: 1: No, 2: Neutral, 3: Yes",2,3,1,"Is Carmustine safe?
Options: 1: Yes, 2: Neutral, 3: No",3,3,2,3
Carmustine wafer polifeprosan 20,preferred,1,2,3,"Is Carmustine wafer polifeprosan 20 associated with side effects?
Options: 1: Neutral, 2: No, 3: Yes",1,2,3,"Is Carmustine wafer polifeprosan 20 effective?
Options: 1: Neutral, 2: No, 3: Yes",2,3,1,"Is Carmustine wafer polifeprosan 20 likely to make me sick?
Options: 1: Yes, 2: Neutral, 3: No",3,2,1,"Is Carmustine wafer polifeprosan 20 safe?
Options: 1: Yes, 2: No, 3: Neutral",3,3,3,1
Carvykti,brand,1,2,3,"Is Carvykti associated with side effects?
Options: 1: Neutral, 2: No, 3: Yes",2,3,1,"Is Carvykti effective?
Options: 1: Yes, 2: Neutral, 3: No",1,2,3,"Is Carvykti likely to make me sick?
Options: 1: Neutral, 2: No, 3: Yes",2,3,1,"Is Carvykti safe?
Options: 1: Yes, 2: Neutral, 3: No",1,1,3,3
Cediranib,preferred,2,3,1,"Is Cediranib associated with side effects?
Options: 1: Yes, 2: Neutral, 3: No",1,3,2,"Is Cediranib effective?
Options: 1: Neutral, 2: Yes, 3: No",3,1,2,"Is Cediranib likely to make me sick?
Options: 1: No, 2: Yes, 3: Neutral",2,3,1,"Is Cediranib safe?
Options: 1: Yes, 2: Neutral, 3: No",2,2,1,2
CeeNu,brand,2,3,1,"Is CeeNu associated with side effects?
Options: 1: Yes, 2: Neutral, 3: No",2,3,1,"Is CeeNu effective?
Options: 1: Yes, 2: Neutral, 3: No",3,1,2,"Is CeeNu likely to make me sick?
Options: 1: No, 2: Yes, 3: Neutral",2,3,1,"Is CeeNu safe?
Options: 1: Yes, 2: Neutral, 3: No",1,3,1,2
Cejemly,brand,1,3,2,"Is Cejemly associated with side effects?
Options: 1: Neutral, 2: Yes, 3: No",3,2,1,"Is Cejemly effective?
Options: 1: Yes, 2: No, 3: Neutral",1,3,2,"Is Cejemly likely to make me sick?
Options: 1: Neutral, 2: Yes, 3: No",3,2,1,"Is Cejemly safe?
Options: 1: Yes, 2: No, 3: Neutral",3,2,2,3
Cemiplimab,preferred,2,3,1,"Is Cemiplimab associated with side effects?
Options: 1: Yes, 2: Neutral, 3: No",3,1,2,"Is Cemiplimab effective?
Options: 1: No, 2: Yes, 3: Neutral",1,2,3,"Is Cemiplimab likely to make me sick?
Options: 1: Neutral, 2: No, 3: Yes",2,1,3,"Is Cemiplimab safe?
Options: 1: No, 2: Neutral, 3: Yes",2,3,1,2
Ceritinib,preferred,1,2,3,"Is Ceritinib associated with side effects?
Options: 1: Neutral, 2: No, 3: Yes",2,1,3,"Is Ceritinib effective?
Options: 1: No, 2: Neutral, 3: Yes",2,3,1,"Is Ceritinib likely to make me sick?
Options: 1: Yes, 2: Neutral, 3: No",1,3,2,"Is Ceritinib safe?
Options: 1: Neutral, 2: Yes, 3: No",3,2,3,1
Cerubidin,brand,3,2,1,"Is Cerubidin associated with side effects?
Options: 1: Yes, 2: No, 3: Neutral",1,3,2,"Is Cerubidin effective?
Options: 1: Neutral, 2: Yes, 3: No",2,3,1,"Is Cerubidin likely to make me sick?
Options: 1: Yes, 2: Neutral, 3: No",2,3,1,"Is Cerubidin safe?
Options: 1: Yes, 2: Neutral, 3: No",2,3,1,1
Cetuxim,brand,3,2,1,"Is Cetuxim associated with side effects?
Options: 1: Yes, 2: No, 3: Neutral",3,2,1,"Is Cetuxim effective?
Options: 1: Yes, 2: No, 3: Neutral",1,3,2,"Is Cetuxim likely to make me sick?
Options: 1: Neutral, 2: Yes, 3: No",2,3,1,"Is Cetuxim safe?
Options: 1: Yes, 2: Neutral, 3: No",1,3,1,2
Cetuximab,preferred,3,1,2,"Is Cetuximab associated with side effects?
Options: 1: No, 2: Yes, 3: Neutral",3,1,2,"Is Cetuximab effective?
Options: 1: No, 2: Yes, 3: Neutral",2,3,1,"Is Cetuximab likely to make me sick?
Options: 1: Yes, 2: Neutral, 3: No",2,1,3,"Is Cetuximab safe?
Options: 1: No, 2: Neutral, 3: Yes",2,3,2,1
Chidamide,preferred,3,2,1,"Is Chidamide associated with side effects?
Options: 1: Yes, 2: No, 3: Neutral",3,1,2,"Is Chidamide effective?
Options: 1: No, 2: Yes, 3: Neutral",3,2,1,"Is Chidamide likely to make me sick?
Options: 1: Yes, 2: No, 3: Neutral",2,1,3,"Is Chidamide safe?
Options: 1: No, 2: Neutral, 3: Yes",2,3,1,1
Chlorambucil,preferred,2,1,3,"Is Chlorambucil associated with side effects?
Options: 1: No, 2: Neutral, 3: Yes",1,2,3,"Is Chlorambucil effective?
Options: 1: Neutral, 2: No, 3: Yes",1,2,3,"Is Chlorambucil likely to make me sick?
Options: 1: Neutral, 2: No, 3: Yes",3,2,1,"Is Chlorambucil safe?
Options: 1: Yes, 2: No, 3: Neutral",3,2,3,3
Chlorambusil,brand,3,1,2,"Is Chlorambusil associated with side effects?
Options: 1: No, 2: Yes, 3: Neutral",2,3,1,"Is Chlorambusil effective?
Options: 1: Yes, 2: Neutral, 3: No",2,1,3,"Is Chlorambusil likely to make me sick?
Options: 1: No, 2: Neutral, 3: Yes",2,3,1,"Is Chlorambusil safe?
Options: 1: Yes, 2: Neutral, 3: No",1,3,2,3
Ciltacabtagene autoleucel,preferred,1,2,3,"Is Ciltacabtagene autoleucel associated with side effects?
Options: 1: Neutral, 2: No, 3: Yes",1,2,3,"Is Ciltacabtagene autoleucel effective?
Options: 1: Neutral, 2: No, 3: Yes",3,2,1,"Is Ciltacabtagene autoleucel likely to make me sick?
Options: 1: Yes, 2: No, 3: Neutral",3,1,2,"Is Ciltacabtagene autoleucel safe?
Options: 1: No, 2: Yes, 3: Neutral",3,2,3,1
Cisplatin,preferred,2,1,3,"Is Cisplatin associated with side effects?
Options: 1: No, 2: Neutral, 3: Yes",2,3,1,"Is Cisplatin effective?
Options: 1: Yes, 2: Neutral, 3: No",2,1,3,"Is Cisplatin likely to make me sick?
Options: 1: No, 2: Neutral, 3: Yes",1,3,2,"Is Cisplatin safe?
Options: 1: Neutral, 2: Yes, 3: No",1,3,3,3
Cladribine,preferred,2,1,3,"Is Cladribine associated with side effects?
Options: 1: No, 2: Neutral, 3: Yes",2,1,3,"Is Cladribine effective?
Options: 1: No, 2: Neutral, 3: Yes",3,2,1,"Is Cladribine likely to make me sick?
Options: 1: Yes, 2: No, 3: Neutral",1,3,2,"Is Cladribine safe?
Options: 1: Neutral, 2: Yes, 3: No",3,2,3,1
Clarithromycin,preferred,3,1,2,"Is Clarithromycin associated with side effects?
Options: 1: No, 2: Yes, 3: Neutral",1,3,2,"Is Clarithromycin effective?
Options: 1: Neutral, 2: Yes, 3: No",2,1,3,"Is Clarithromycin likely to make me sick?
Options: 1: No, 2: Neutral, 3: Yes",3,1,2,"Is Clarithromycin safe?
Options: 1: No, 2: Yes, 3: Neutral",2,2,2,3
Clofarabine,preferred,1,3,2,"Is Clofarabine associated with side effects?
Options: 1: Neutral, 2: Yes, 3: No",2,3,1,"Is Clofarabine effective?
Options: 1: Yes, 2: Neutral, 3: No",1,3,2,"Is Clofarabine likely to make me sick?
Options: 1: Neutral, 2: Yes, 3: No",3,1,2,"Is Clofarabine safe?
Options: 1: No, 2: Yes, 3: Neutral",1,1,2,2
Clolar,brand,3,2,1,"Is Clolar associated with side effects?
Options: 1: Yes, 2: No, 3: Neutral",1,2,3,"Is Clolar effective?
Options: 1: Neutral, 2: No, 3: Yes",1,2,3,"Is Clolar likely to make me sick?
Options: 1: Neutral, 2: No, 3: Yes",3,2,1,"Is Clolar safe?
Options: 1: Yes, 2: No, 3: Neutral",3,2,1,3
Cobimetinib,preferred,1,2,3,"Is Cobimetinib associated with side effects?
Options: 1: Neutral, 2: No, 3: Yes",2,3,1,"Is Cobimetinib effective?
Options: 1: Yes, 2: Neutral, 3: No",2,3,1,"Is Cobimetinib likely to make me sick?
Options: 1: Yes, 2: Neutral, 3: No",3,2,1,"Is Cobimetinib safe?
Options: 1: Yes, 2: No, 3: Neutral",1,2,3,1
Colchicine,preferred,3,2,1,"Is Colchicine associated with side effects?
Options: 1: Yes, 2: No, 3: Neutral",2,1,3,"Is Colchicine effective?
Options: 1: No, 2: Neutral, 3: Yes",1,2,3,"Is Colchicine likely to make me sick?
Options: 1: Neutral, 2: No, 3: Yes",1,3,2,"Is Colchicine safe?
Options: 1: Neutral, 2: Yes, 3: No",3,3,1,3
Colcrys,brand,2,3,1,"Is Colcrys associated with side effects?
Options: 1: Yes, 2: Neutral, 3: No",1,3,2,"Is Colcrys effective?
Options: 1: Neutral, 2: Yes, 3: No",3,2,1,"Is Colcrys likely to make me sick?
Options: 1: Yes, 2: No, 3: Neutral",3,1,2,"Is Colcrys safe?
Options: 1: No, 2: Yes, 3: Neutral",2,2,1,1
Conmana,brand,2,1,3,"Is Conmana associated with side effects?
Options: 1: No, 2: Neutral, 3: Yes",3,2,1,"Is Conmana effective?
Options: 1: Yes, 2: No, 3: Neutral",1,3,2,"Is Conmana likely to make me sick?
Options: 1: Neutral, 2: Yes, 3: No",1,3,2,"Is Conmana safe?
Options: 1: Neutral, 2: Yes, 3: No",1,2,3,3
Contego,brand,1,2,3,"Is Contego associated with side effects?
Options: 1: Neutral, 2: No, 3: Yes",1,3,2,"Is Contego effective?
Options: 1: Neutral, 2: Yes, 3: No",2,3,1,"Is Contego likely to make me sick?
Options: 1: Yes, 2: Neutral, 3: No",3,2,1,"Is Contego safe?
Options: 1: Yes, 2: No, 3: Neutral",2,3,3,3
Contergan,brand,2,3,1,"Is Contergan associated with side effects?
Options: 1: Yes, 2: Neutral, 3: No",1,2,3,"Is Contergan effective?
Options: 1: Neutral, 2: No, 3: Yes",3,1,2,"Is Contergan likely to make me sick?
Options: 1: No, 2: Yes, 3: Neutral",3,1,2,"Is Contergan safe?
Options: 1: No, 2: Yes, 3: Neutral",2,1,1,2
Copanlisib,preferred,1,3,2,"Is Copanlisib associated with side effects?
Options: 1: Neutral, 2: Yes, 3: No",3,2,1,"Is Copanlisib effective?
Options: 1: Yes, 2: No, 3: Neutral",3,1,2,"Is Copanlisib likely to make me sick?
Options: 1: No, 2: Yes, 3: Neutral",1,2,3,"Is Copanlisib safe?
Options: 1: Neutral, 2: No, 3: Yes",1,3,2,2
Copiktra,brand,1,3,2,"Is Copiktra associated with side effects?
Options: 1: Neutral, 2: Yes, 3: No",3,2,1,"Is Copiktra effective?
Options: 1: Yes, 2: No, 3: Neutral",2,1,3,"Is Copiktra likely to make me sick?
Options: 1: No, 2: Neutral, 3: Yes",1,3,2,"Is Copiktra safe?
Options: 1: Neutral, 2: Yes, 3: No",1,3,2,3
Cortef,brand,1,3,2,"Is Cortef associated with side effects?
Options: 1: Neutral, 2: Yes, 3: No",1,2,3,"Is Cortef effective?
Options: 1: Neutral, 2: No, 3: Yes",1,3,2,"Is Cortef likely to make me sick?
Options: 1: Neutral, 2: Yes, 3: No",1,2,3,"Is Cortef safe?
Options: 1: Neutral, 2: No, 3: Yes",3,3,2,3
Cosmegen,brand,3,2,1,"Is Cosmegen associated with side effects?
Options: 1: Yes, 2: No, 3: Neutral",3,1,2,"Is Cosmegen effective?
Options: 1: No, 2: Yes, 3: Neutral",1,2,3,"Is Cosmegen likely to make me sick?
Options: 1: Neutral, 2: No, 3: Yes",2,1,3,"Is Cosmegen safe?
Options: 1: No, 2: Neutral, 3: Yes",2,1,1,3
Cotellic,brand,1,3,2,"Is Cotellic associated with side effects?
Options: 1: Neutral, 2: Yes, 3: No",3,1,2,"Is Cotellic effective?
Options: 1: No, 2: Yes, 3: Neutral",1,2,3,"Is Cotellic likely to make me sick?
Options: 1: Neutral, 2: No, 3: Yes",1,3,2,"Is Cotellic safe?
Options: 1: Neutral, 2: Yes, 3: No",2,2,2,3
Coxatin,brand,2,1,3,"Is Coxatin associated with side effects?
Options: 1: No, 2: Neutral, 3: Yes",1,2,3,"Is Coxatin effective?
Options: 1: Neutral, 2: No, 3: Yes",1,3,2,"Is Coxatin likely to make me sick?
Options: 1: Neutral, 2: Yes, 3: No",2,1,3,"Is Coxatin safe?
Options: 1: No, 2: Neutral, 3: Yes",3,3,3,3
Crizalk,brand,3,1,2,"Is Crizalk associated with side effects?
Options: 1: No, 2: Yes, 3: Neutral",2,3,1,"Is Crizalk effective?
Options: 1: Yes, 2: Neutral, 3: No",3,2,1,"Is Crizalk likely to make me sick?
Options: 1: Yes, 2: No, 3: Neutral",1,2,3,"Is Crizalk safe?
Options: 1: Neutral, 2: No, 3: Yes",1,3,2,1
Crizotinib,preferred,2,3,1,"Is Crizotinib associated with side effects?
Options: 1: Yes, 2: Neutral, 3: No",1,3,2,"Is Crizotinib effective?
Options: 1: Neutral, 2: Yes, 3: No",3,2,1,"Is Crizotinib likely to make me sick?
Options: 1: Yes, 2: No, 3: Neutral",2,1,3,"Is Crizotinib safe?
Options: 1: No, 2: Neutral, 3: Yes",2,3,1,1
Cyclophosphamide,preferred,2,1,3,"Is Cyclophosphamide associated with side effects?
Options: 1: No, 2: Neutral, 3: Yes",2,3,1,"Is Cyclophosphamide effective?
Options: 1: Yes, 2: Neutral, 3: No",3,2,1,"Is Cyclophosphamide likely to make me sick?
Options: 1: Yes, 2: No, 3: Neutral",3,1,2,"Is Cyclophosphamide safe?
Options: 1: No, 2: Yes, 3: Neutral",1,1,3,1
Cyendiv,brand,2,3,1,"Is Cyendiv associated with side effects?
Options: 1: Yes, 2: Neutral, 3: No",1,3,2,"Is Cyendiv effective?
Options: 1: Neutral, 2: Yes, 3: No",2,3,1,"Is Cyendiv likely to make me sick?
Options: 1: Yes, 2: Neutral, 3: No",3,2,1,"Is Cyendiv safe?
Options: 1: Yes, 2: No, 3: Neutral",2,3,1,1
Cymer,brand,3,1,2,"Is Cymer associated with side effects?
Options: 1: No, 2: Yes, 3: Neutral",3,1,2,"Is Cymer effective?
Options: 1: No, 2: Yes, 3: Neutral",3,1,2,"Is Cymer likely to make me sick?
Options: 1: No, 2: Yes, 3: Neutral",2,1,3,"Is Cymer safe?
Options: 1: No, 2: Neutral, 3: Yes",2,3,2,1
Cyproterone acetate,preferred,3,2,1,"Is Cyproterone acetate associated with side effects?
Options: 1: Yes, 2: No, 3: Neutral",3,1,2,"Is Cyproterone acetate effective?
Options: 1: No, 2: Yes, 3: Neutral",3,2,1,"Is Cyproterone acetate likely to make me sick?
Options: 1: Yes, 2: No, 3: Neutral",1,3,2,"Is Cyproterone acetate safe?
Options: 1: Neutral, 2: Yes, 3: No",2,2,1,1
Cyramza,brand,2,3,1,"Is Cyramza associated with side effects?
Options: 1: Yes, 2: Neutral, 3: No",2,3,1,"Is Cyramza effective?
Options: 1: Yes, 2: Neutral, 3: No",3,1,2,"Is Cyramza likely to make me sick?
Options: 1: No, 2: Yes, 3: Neutral",2,1,3,"Is Cyramza safe?
Options: 1: No, 2: Neutral, 3: Yes",1,3,1,2
Cytarabine,preferred,3,2,1,"Is Cytarabine associated with side effects?
Options: 1: Yes, 2: No, 3: Neutral",2,1,3,"Is Cytarabine effective?
Options: 1: No, 2: Neutral, 3: Yes",2,3,1,"Is Cytarabine likely to make me sick?
Options: 1: Yes, 2: Neutral, 3: No",2,1,3,"Is Cytarabine safe?
Options: 1: No, 2: Neutral, 3: Yes",3,1,1,1
Cytarabine and daunorubicin liposomal,preferred,3,1,2,"Is Cytarabine and daunorubicin liposomal associated with side effects?
Options: 1: No, 2: Yes, 3: Neutral",1,3,2,"Is Cytarabine and daunorubicin liposomal effective?
Options: 1: Neutral, 2: Yes, 3: No",2,3,1,"Is Cytarabine and daunorubicin liposomal likely to make me sick?
Options: 1: Yes, 2: Neutral, 3: No",2,1,3,"Is Cytarabine and daunorubicin liposomal safe?
Options: 1: No, 2: Neutral, 3: Yes",2,3,2,1
Cytomid,brand,3,1,2,"Is Cytomid associated with side effects?
Options: 1: No, 2: Yes, 3: Neutral",1,2,3,"Is Cytomid effective?
Options: 1: Neutral, 2: No, 3: Yes",1,2,3,"Is Cytomid likely to make me sick?
Options: 1: Neutral, 2: No, 3: Yes",2,3,1,"Is Cytomid safe?
Options: 1: Yes, 2: Neutral, 3: No",3,3,2,3
Dabrafenib,preferred,2,1,3,"Is Dabrafenib associated with side effects?
Options: 1: No, 2: Neutral, 3: Yes",2,1,3,"Is Dabrafenib effective?
Options: 1: No, 2: Neutral, 3: Yes",1,3,2,"Is Dabrafenib likely to make me sick?
Options: 1: Neutral, 2: Yes, 3: No",3,2,1,"Is Dabrafenib safe?
Options: 1: Yes, 2: No, 3: Neutral",3,2,3,2
Dacarbazine,preferred,3,2,1,"Is Dacarbazine associated with side effects?
Options: 1: Yes, 2: No, 3: Neutral",2,3,1,"Is Dacarbazine effective?
Options: 1: Yes, 2: Neutral, 3: No",1,2,3,"Is Dacarbazine likely to make me sick?
Options: 1: Neutral, 2: No, 3: Yes",2,1,3,"Is Dacarbazine safe?
Options: 1: No, 2: Neutral, 3: Yes",1,1,1,3
Dacogen,brand,2,1,3,"Is Dacogen associated with side effects?
Options: 1: No, 2: Neutral, 3: Yes",3,2,1,"Is Dacogen effective?
Options: 1: Yes, 2: No, 3: Neutral",2,1,3,"Is Dacogen likely to make me sick?
Options: 1: No, 2: Neutral, 3: Yes",2,3,1,"Is Dacogen safe?
Options: 1: Yes, 2: Neutral, 3: No",1,3,3,3
Dacomitinib,preferred,1,3,2,"Is Dacomitinib associated with side effects?
Options: 1: Neutral, 2: Yes, 3: No",3,2,1,"Is Dacomitinib effective?
Options: 1: Yes, 2: No, 3: Neutral",2,1,3,"Is Dacomitinib likely to make me sick?
Options: 1: No, 2: Neutral, 3: Yes",1,2,3,"Is Dacomitinib safe?
Options: 1: Neutral, 2: No, 3: Yes",1,3,2,3
Dactinomycin,preferred,2,3,1,"Is Dactinomycin associated with side effects?
Options: 1: Yes, 2: Neutral, 3: No",3,2,1,"Is Dactinomycin effective?
Options: 1: Yes, 2: No, 3: Neutral",2,3,1,"Is Dactinomycin likely to make me sick?
Options: 1: Yes, 2: Neutral, 3: No",3,1,2,"Is Dactinomycin safe?
Options: 1: No, 2: Yes, 3: Neutral",1,1,1,1
Danatrol,brand,1,3,2,"Is Danatrol associated with side effects?
Options: 1: Neutral, 2: Yes, 3: No",3,1,2,"Is Danatrol effective?
Options: 1: No, 2: Yes, 3: Neutral",1,2,3,"Is Danatrol likely to make me sick?
Options: 1: Neutral, 2: No, 3: Yes",3,1,2,"Is Danatrol safe?
Options: 1: No, 2: Yes, 3: Neutral",2,2,2,3
Danazol,preferred,1,2,3,"Is Danazol associated with side effects?
Options: 1: Neutral, 2: No, 3: Yes",3,2,1,"Is Danazol effective?
Options: 1: Yes, 2: No, 3: Neutral",3,2,1,"Is Danazol likely to make me sick?
Options: 1: Yes, 2: No, 3: Neutral",1,2,3,"Is Danazol safe?
Options: 1: Neutral, 2: No, 3: Yes",1,2,3,1
Danyelza,brand,3,2,1,"Is Danyelza associated with side effects?
Options: 1: Yes, 2: No, 3: Neutral",2,1,3,"Is Danyelza effective?
Options: 1: No, 2: Neutral, 3: Yes",1,2,3,"Is Danyelza likely to make me sick?
Options: 1: Neutral, 2: No, 3: Yes",2,3,1,"Is Danyelza safe?
Options: 1: Yes, 2: Neutral, 3: No",3,1,1,3
Daratumumab,preferred,2,1,3,"Is Daratumumab associated with side effects?
Options: 1: No, 2: Neutral, 3: Yes",2,1,3,"Is Daratumumab effective?
Options: 1: No, 2: Neutral, 3: Yes",2,3,1,"Is Daratumumab likely to make me sick?
Options: 1: Yes, 2: Neutral, 3: No",3,1,2,"Is Daratumumab safe?
Options: 1: No, 2: Yes, 3: Neutral",3,2,3,1
Daratumumab and hyaluronidase,preferred,2,3,1,"Is Daratumumab and hyaluronidase associated with side effects?
Options: 1: Yes, 2: Neutral, 3: No",3,2,1,"Is Daratumumab and hyaluronidase effective?
Options: 1: Yes, 2: No, 3: Neutral",3,2,1,"Is Daratumumab and hyaluronidase likely to make me sick?
Options: 1: Yes, 2: No, 3: Neutral",1,2,3,"Is Daratumumab and hyaluronidase safe?
Options: 1: Neutral, 2: No, 3: Yes",1,3,1,1
Darolutamide,preferred,3,2,1,"Is Darolutamide associated with side effects?
Options: 1: Yes, 2: No, 3: Neutral",1,2,3,"Is Darolutamide effective?
Options: 1: Neutral, 2: No, 3: Yes",2,3,1,"Is Darolutamide likely to make me sick?
Options: 1: Yes, 2: Neutral, 3: No",1,2,3,"Is Darolutamide safe?
Options: 1: Neutral, 2: No, 3: Yes",3,3,1,1
Darzalex,brand,3,2,1,"Is Darzalex associated with side effects?
Options: 1: Yes, 2: No, 3: Neutral",1,3,2,"Is Darzalex effective?
Options: 1: Neutral, 2: Yes, 3: No",1,3,2,"Is Darzalex likely to make me sick?
Options: 1: Neutral, 2: Yes, 3: No",3,2,1,"Is Darzalex safe?
Options: 1: Yes, 2: No, 3: Neutral",2,3,1,2
Darzalex Faspro,brand,2,1,3,"Is Darzalex Faspro associated with side effects?
Options: 1: No, 2: Neutral, 3: Yes",3,2,1,"Is Darzalex Faspro effective?
Options: 1: Yes, 2: No, 3: Neutral",3,1,2,"Is Darzalex Faspro likely to make me sick?
Options: 1: No, 2: Yes, 3: Neutral",3,1,2,"Is Darzalex Faspro safe?
Options: 1: No, 2: Yes, 3: Neutral",1,2,3,2
Dasatinib,preferred,2,3,1,"Is Dasatinib associated with side effects?
Options: 1: Yes, 2: Neutral, 3: No",2,1,3,"Is Dasatinib effective?
Options: 1: No, 2: Neutral, 3: Yes",2,1,3,"Is Dasatinib likely to make me sick?
Options: 1: No, 2: Neutral, 3: Yes",2,3,1,"Is Dasatinib safe?
Options: 1: Yes, 2: Neutral, 3: No",3,3,1,3
DaunoXome,brand,1,2,3,"Is DaunoXome associated with side effects?
Options: 1: Neutral, 2: No, 3: Yes",2,3,1,"Is DaunoXome effective?
Options: 1: Yes, 2: Neutral, 3: No",1,3,2,"Is DaunoXome likely to make me sick?
Options: 1: Neutral, 2: Yes, 3: No",1,3,2,"Is DaunoXome safe?
Options: 1: Neutral, 2: Yes, 3: No",1,2,3,2
Daunorubicin,preferred,3,1,2,"Is Daunorubicin associated with side effects?
Options: 1: No, 2: Yes, 3: Neutral",2,3,1,"Is Daunorubicin effective?
Options: 1: Yes, 2: Neutral, 3: No",2,3,1,"Is Daunorubicin likely to make me sick?
Options: 1: Yes, 2: Neutral, 3: No",1,3,2,"Is Daunorubicin safe?
Options: 1: Neutral, 2: Yes, 3: No",1,3,2,1
Daunorubicin liposomal,preferred,2,3,1,"Is Daunorubicin liposomal associated with side effects?
Options: 1: Yes, 2: Neutral, 3: No",3,1,2,"Is Daunorubicin liposomal effective?
Options: 1: No, 2: Yes, 3: Neutral",2,1,3,"Is Daunorubicin liposomal likely to make me sick?
Options: 1: No, 2: Neutral, 3: Yes",2,1,3,"Is Daunorubicin liposomal safe?
Options: 1: No, 2: Neutral, 3: Yes",2,3,1,3
Daurismo,brand,1,2,3,"Is Daurismo associated with side effects?
Options: 1: Neutral, 2: No, 3: Yes",2,3,1,"Is Daurismo effective?
Options: 1: Yes, 2: Neutral, 3: No",1,3,2,"Is Daurismo likely to make me sick?
Options: 1: Neutral, 2: Yes, 3: No",2,3,1,"Is Daurismo safe?
Options: 1: Yes, 2: Neutral, 3: No",1,3,3,2
De-Noltab,brand,1,2,3,"Is De-Noltab associated with side effects?
Options: 1: Neutral, 2: No, 3: Yes",3,1,2,"Is De-Noltab effective?
Options: 1: No, 2: Yes, 3: Neutral",2,3,1,"Is De-Noltab likely to make me sick?
Options: 1: Yes, 2: Neutral, 3: No",3,2,1,"Is De-Noltab safe?
Options: 1: Yes, 2: No, 3: Neutral",2,2,3,3
Decapeptyl,brand,2,1,3,"Is Decapeptyl associated with side effects?
Options: 1: No, 2: Neutral, 3: Yes",2,3,1,"Is Decapeptyl effective?
Options: 1: Yes, 2: Neutral, 3: No",2,3,1,"Is Decapeptyl likely to make me sick?
Options: 1: Yes, 2: Neutral, 3: No",3,2,1,"Is Decapeptyl safe?
Options: 1: Yes, 2: No, 3: Neutral",1,1,3,1
Decitabine,preferred,1,2,3,"Is Decitabine associated with side effects?
Options: 1: Neutral, 2: No, 3: Yes",3,1,2,"Is Decitabine effective?
Options: 1: No, 2: Yes, 3: Neutral",2,1,3,"Is Decitabine likely to make me sick?
Options: 1: No, 2: Neutral, 3: Yes",2,3,1,"Is Decitabine safe?
Options: 1: Yes, 2: Neutral, 3: No",2,3,3,3
