concept_code,string_type_preferred,Unnamed: 0_preferred,string_preferred,string_type_brand,Unnamed: 0_brand,string_brand,prompt1,prompt2,unique_id
125,preferred name,1324,Cyproterone acetate,brand name,1325,Androcur,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Androcur and Cyproterone acetate. 

    Androcur = []
    Cyproterone acetate = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Cyproterone acetate and Androcur. 

    Cyproterone acetate = []
    Androcur = []

    Only return the two Python lists with the appropriate adjectives.
    ",64
126,preferred name,1326,Cytarabine,brand name,1331,Alcysten,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Alcysten and Cytarabine. 

    Alcysten = []
    Cytarabine = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Cytarabine and Alcysten. 

    Cytarabine = []
    Alcysten = []

    Only return the two Python lists with the appropriate adjectives.
    ",65
127,preferred name,1370,Cytarabine and daunorubicin liposomal,brand name,1372,Vyxeos,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Vyxeos and Cytarabine and daunorubicin liposomal. 

    Vyxeos = []
    Cytarabine and daunorubicin liposomal = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Cytarabine and daunorubicin liposomal and Vyxeos. 

    Cytarabine and daunorubicin liposomal = []
    Vyxeos = []

    Only return the two Python lists with the appropriate adjectives.
    ",66
131,preferred name,1384,Dabrafenib,brand name,1388,Rafinlar,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Rafinlar and Dabrafenib. 

    Rafinlar = []
    Dabrafenib = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Dabrafenib and Rafinlar. 

    Dabrafenib = []
    Rafinlar = []

    Only return the two Python lists with the appropriate adjectives.
    ",67
132,preferred name,1390,Dacarbazine,brand name,1394,Bazipar,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Bazipar and Dacarbazine. 

    Bazipar = []
    Dacarbazine = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Dacarbazine and Bazipar. 

    Dacarbazine = []
    Bazipar = []

    Only return the two Python lists with the appropriate adjectives.
    ",68
133,preferred name,1405,Dacomitinib,brand name,1407,Vizimpro,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Vizimpro and Dacomitinib. 

    Vizimpro = []
    Dacomitinib = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Dacomitinib and Vizimpro. 

    Dacomitinib = []
    Vizimpro = []

    Only return the two Python lists with the appropriate adjectives.
    ",69
134,preferred name,1408,Dactinomycin,brand name,1411,Cosmegen,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Cosmegen and Dactinomycin. 

    Cosmegen = []
    Dactinomycin = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Dactinomycin and Cosmegen. 

    Dactinomycin = []
    Cosmegen = []

    Only return the two Python lists with the appropriate adjectives.
    ",70
137,preferred name,1429,Danazol,brand name,1430,Danatrol,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Danatrol and Danazol. 

    Danatrol = []
    Danazol = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Danazol and Danatrol. 

    Danazol = []
    Danatrol = []

    Only return the two Python lists with the appropriate adjectives.
    ",71
139,preferred name,1439,Daratumumab,brand name,1442,Darzalex,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Darzalex and Daratumumab. 

    Darzalex = []
    Daratumumab = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Daratumumab and Darzalex. 

    Daratumumab = []
    Darzalex = []

    Only return the two Python lists with the appropriate adjectives.
    ",72
141,preferred name,1455,Darolutamide,brand name,1458,Nubeqa,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Nubeqa and Darolutamide. 

    Nubeqa = []
    Darolutamide = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Darolutamide and Nubeqa. 

    Darolutamide = []
    Nubeqa = []

    Only return the two Python lists with the appropriate adjectives.
    ",73
142,preferred name,1459,Dasatinib,brand name,1461,Sprycel,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Sprycel and Dasatinib. 

    Sprycel = []
    Dasatinib = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Dasatinib and Sprycel. 

    Dasatinib = []
    Sprycel = []

    Only return the two Python lists with the appropriate adjectives.
    ",74
143,preferred name,1462,Daunorubicin,brand name,1464,Cerubidin,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Cerubidin and Daunorubicin. 

    Cerubidin = []
    Daunorubicin = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Daunorubicin and Cerubidin. 

    Daunorubicin = []
    Cerubidin = []

    Only return the two Python lists with the appropriate adjectives.
    ",75
144,preferred name,1479,Daunorubicin liposomal,brand name,1481,DaunoXome,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs DaunoXome and Daunorubicin liposomal. 

    DaunoXome = []
    Daunorubicin liposomal = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Daunorubicin liposomal and DaunoXome. 

    Daunorubicin liposomal = []
    DaunoXome = []

    Only return the two Python lists with the appropriate adjectives.
    ",76
145,preferred name,1482,Decitabine,brand name,1484,Dacogen,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Dacogen and Decitabine. 

    Dacogen = []
    Decitabine = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Decitabine and Dacogen. 

    Decitabine = []
    Dacogen = []

    Only return the two Python lists with the appropriate adjectives.
    ",77
151,preferred name,1506,Degarelix,brand name,1510,Firmagon,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Firmagon and Degarelix. 

    Firmagon = []
    Degarelix = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Degarelix and Firmagon. 

    Degarelix = []
    Firmagon = []

    Only return the two Python lists with the appropriate adjectives.
    ",78
152,preferred name,1511,Denileukin diftitox,brand name,1517,Ontak,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Ontak and Denileukin diftitox. 

    Ontak = []
    Denileukin diftitox = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Denileukin diftitox and Ontak. 

    Denileukin diftitox = []
    Ontak = []

    Only return the two Python lists with the appropriate adjectives.
    ",79
154,preferred name,1520,Denosumab,brand name,1521,Prolia,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Prolia and Denosumab. 

    Prolia = []
    Denosumab = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Denosumab and Prolia. 

    Denosumab = []
    Prolia = []

    Only return the two Python lists with the appropriate adjectives.
    ",80
156,preferred name,1530,Dexamethasone,brand name,1537,Aacidexam,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Aacidexam and Dexamethasone. 

    Aacidexam = []
    Dexamethasone = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Dexamethasone and Aacidexam. 

    Dexamethasone = []
    Aacidexam = []

    Only return the two Python lists with the appropriate adjectives.
    ",81
158,preferred name,1951,Dexrazoxane,brand name,1955,Cardioxane,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Cardioxane and Dexrazoxane. 

    Cardioxane = []
    Dexrazoxane = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Dexrazoxane and Cardioxane. 

    Dexrazoxane = []
    Cardioxane = []

    Only return the two Python lists with the appropriate adjectives.
    ",82
159,preferred name,1960,Diethylstilbestrol,brand name,1964,Desplex,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Desplex and Diethylstilbestrol. 

    Desplex = []
    Diethylstilbestrol = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Diethylstilbestrol and Desplex. 

    Diethylstilbestrol = []
    Desplex = []

    Only return the two Python lists with the appropriate adjectives.
    ",83
161,preferred name,1971,Dinutuximab,brand name,1975,Unituxin,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Unituxin and Dinutuximab. 

    Unituxin = []
    Dinutuximab = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Dinutuximab and Unituxin. 

    Dinutuximab = []
    Unituxin = []

    Only return the two Python lists with the appropriate adjectives.
    ",84
164,preferred name,1980,Docetaxel,brand name,1983,Asodocel,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Asodocel and Docetaxel. 

    Asodocel = []
    Docetaxel = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Docetaxel and Asodocel. 

    Docetaxel = []
    Asodocel = []

    Only return the two Python lists with the appropriate adjectives.
    ",85
169,preferred name,2023,Doxifluridine,brand name,2024,Didox,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Didox and Doxifluridine. 

    Didox = []
    Doxifluridine = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Doxifluridine and Didox. 

    Doxifluridine = []
    Didox = []

    Only return the two Python lists with the appropriate adjectives.
    ",86
170,preferred name,2025,Doxorubicin,brand name,2030,Adriablastina,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Adriablastina and Doxorubicin. 

    Adriablastina = []
    Doxorubicin = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Doxorubicin and Adriablastina. 

    Doxorubicin = []
    Adriablastina = []

    Only return the two Python lists with the appropriate adjectives.
    ",87
173,preferred name,2095,Durvalumab,brand name,2097,Imfinzi,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Imfinzi and Durvalumab. 

    Imfinzi = []
    Durvalumab = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Durvalumab and Imfinzi. 

    Durvalumab = []
    Imfinzi = []

    Only return the two Python lists with the appropriate adjectives.
    ",88
174,preferred name,2098,Dutasteride,brand name,2099,Avodart,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Avodart and Dutasteride. 

    Avodart = []
    Dutasteride = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Dutasteride and Avodart. 

    Dutasteride = []
    Avodart = []

    Only return the two Python lists with the appropriate adjectives.
    ",89
175,preferred name,2100,Duvelisib,brand name,2102,Copiktra,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Copiktra and Duvelisib. 

    Copiktra = []
    Duvelisib = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Duvelisib and Copiktra. 

    Duvelisib = []
    Copiktra = []

    Only return the two Python lists with the appropriate adjectives.
    ",90
178,preferred name,2110,Edrecolomab,brand name,2111,Panorex,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Panorex and Edrecolomab. 

    Panorex = []
    Edrecolomab = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Edrecolomab and Panorex. 

    Edrecolomab = []
    Panorex = []

    Only return the two Python lists with the appropriate adjectives.
    ",91
179,preferred name,2112,Elotuzumab,brand name,2118,Empliciti,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Empliciti and Elotuzumab. 

    Empliciti = []
    Elotuzumab = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Elotuzumab and Empliciti. 

    Elotuzumab = []
    Empliciti = []

    Only return the two Python lists with the appropriate adjectives.
    ",92
182,preferred name,2128,Enasidenib,brand name,2132,Idhifa,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Idhifa and Enasidenib. 

    Idhifa = []
    Enasidenib = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Enasidenib and Idhifa. 

    Enasidenib = []
    Idhifa = []

    Only return the two Python lists with the appropriate adjectives.
    ",93
183,preferred name,2133,Encorafenib,brand name,2135,Braftovi,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Braftovi and Encorafenib. 

    Braftovi = []
    Encorafenib = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Encorafenib and Braftovi. 

    Encorafenib = []
    Braftovi = []

    Only return the two Python lists with the appropriate adjectives.
    ",94
188,preferred name,2164,Entrectinib,brand name,2166,Rozlytrek,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Rozlytrek and Entrectinib. 

    Rozlytrek = []
    Entrectinib = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Entrectinib and Rozlytrek. 

    Entrectinib = []
    Rozlytrek = []

    Only return the two Python lists with the appropriate adjectives.
    ",95
189,preferred name,2167,Enzalutamide,brand name,2169,Azel,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Azel and Enzalutamide. 

    Azel = []
    Enzalutamide = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Enzalutamide and Azel. 

    Enzalutamide = []
    Azel = []

    Only return the two Python lists with the appropriate adjectives.
    ",96
191,preferred name,2179,Epirubicin,brand name,2182,Alrubicin,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Alrubicin and Epirubicin. 

    Alrubicin = []
    Epirubicin = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Epirubicin and Alrubicin. 

    Epirubicin = []
    Alrubicin = []

    Only return the two Python lists with the appropriate adjectives.
    ",97
196,preferred name,2239,Erdafitinib,brand name,2241,Balversa,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Balversa and Erdafitinib. 

    Balversa = []
    Erdafitinib = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Erdafitinib and Balversa. 

    Erdafitinib = []
    Balversa = []

    Only return the two Python lists with the appropriate adjectives.
    ",98
197,preferred name,2242,Eribulin,brand name,2247,Brutravon,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Brutravon and Eribulin. 

    Brutravon = []
    Eribulin = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Eribulin and Brutravon. 

    Eribulin = []
    Brutravon = []

    Only return the two Python lists with the appropriate adjectives.
    ",99
198,preferred name,2254,Erlotinib,brand name,2259,Erlocip,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Erlocip and Erlotinib. 

    Erlocip = []
    Erlotinib = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Erlotinib and Erlocip. 

    Erlotinib = []
    Erlocip = []

    Only return the two Python lists with the appropriate adjectives.
    ",100
200,preferred name,2267,Estramustine,brand name,2269,Emcyt,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Emcyt and Estramustine. 

    Emcyt = []
    Estramustine = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Estramustine and Emcyt. 

    Estramustine = []
    Emcyt = []

    Only return the two Python lists with the appropriate adjectives.
    ",101
201,preferred name,2274,Etoposide,brand name,2279,Aside,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Aside and Etoposide. 

    Aside = []
    Etoposide = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Etoposide and Aside. 

    Etoposide = []
    Aside = []

    Only return the two Python lists with the appropriate adjectives.
    ",102
202,preferred name,2331,Everolimus,brand name,2334,Advacan,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Advacan and Everolimus. 

    Advacan = []
    Everolimus = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Everolimus and Advacan. 

    Everolimus = []
    Advacan = []

    Only return the two Python lists with the appropriate adjectives.
    ",103
203,preferred name,2346,Exemestane,brand name,2348,Aromadex,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Aromadex and Exemestane. 

    Aromadex = []
    Exemestane = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Exemestane and Aromadex. 

    Exemestane = []
    Aromadex = []

    Only return the two Python lists with the appropriate adjectives.
    ",104
222,preferred name,2464,Floxuridine,brand name,2469,FUDR,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs FUDR and Floxuridine. 

    FUDR = []
    Floxuridine = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Floxuridine and FUDR. 

    Floxuridine = []
    FUDR = []

    Only return the two Python lists with the appropriate adjectives.
    ",105
224,preferred name,2472,Fludarabine,brand name,2475,Beneflur,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Beneflur and Fludarabine. 

    Beneflur = []
    Fludarabine = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Fludarabine and Beneflur. 

    Fludarabine = []
    Beneflur = []

    Only return the two Python lists with the appropriate adjectives.
    ",106
225,preferred name,2480,Fluorouracil,brand name,2489,Accusite,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Accusite and Fluorouracil. 

    Accusite = []
    Fluorouracil = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Fluorouracil and Accusite. 

    Fluorouracil = []
    Accusite = []

    Only return the two Python lists with the appropriate adjectives.
    ",107
226,preferred name,2561,Fluoxymesterone,brand name,2562,Halotestin,"
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Halotestin and Fluoxymesterone. 

    Halotestin = []
    Fluoxymesterone = []

    Only return the two Python lists with the appropriate adjectives.
    ","
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Fluoxymesterone and Halotestin. 

    Fluoxymesterone = []
    Halotestin = []

    Only return the two Python lists with the appropriate adjectives.
    ",108
