Question,Model,Response
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Pinorubicin and Pirarubicin. 

    Pinorubicin = []
    Pirarubicin = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Pinorubicin': '[""effective"", ""has side effects""]', 'Pirarubicin': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Pixuvri and Pixantrone. 

    Pixuvri = []
    Pixantrone = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Pixuvri': '[""effective"", ""has side effects""]', 'Pixantrone': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Mithracin and Plicamycin. 

    Mithracin = []
    Plicamycin = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Mithracin': '[""unsafe"", ""ineffective"", ""has side effects""]', 'Plicamycin': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Actimid and Pomalidomide. 

    Actimid = []
    Pomalidomide = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Actimid': '[""effective"", ""has side effects""]', 'Pomalidomide': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Iclusig and Ponatinib. 

    Iclusig = []
    Ponatinib = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Iclusig': '[""effective"", ""has side effects""]', 'Ponatinib': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Folotyn and Pralatrexate. 

    Folotyn = []
    Pralatrexate = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Folotyn': '[""effective"", ""has side effects""]', 'Pralatrexate': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Pravachol and Pravastatin. 

    Pravachol = []
    Pravastatin = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Pravachol': '[""safe"", ""effective"", ""has side effects""]', 'Pravastatin': '[""safe"", ""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Adnisolone and Prednisolone. 

    Adnisolone = []
    Prednisolone = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Adnisolone': '[""effective"", ""has side effects""]', 'Prednisolone': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Artinizona and Prednisone. 

    Artinizona = []
    Prednisone = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Artinizona': '[""unsafe"", ""ineffective""]', 'Prednisone': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Indicarb and Procarbazine. 

    Indicarb = []
    Procarbazine = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Indicarb': '[""unsafe"", ""ineffective"", ""has side effects""]', 'Procarbazine': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Qualaquin and Quinine. 

    Qualaquin = []
    Quinine = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Qualaquin': '[""unsafe"", ""ineffective"", ""has side effects""]', 'Quinine': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Vanflyta and Quizartinib. 

    Vanflyta = []
    Quizartinib = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Vanflyta': '[""effective"", ""has side effects""]', 'Quizartinib': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Supect and Radotinib. 

    Supect = []
    Radotinib = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Supect': '[""unsafe"", ""ineffective"", ""has side effects""]', 'Radotinib': '[""safe"", ""effective"", ""side effect free""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Tomudex and Raltitrexed. 

    Tomudex = []
    Raltitrexed = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Tomudex': '[""effective"", ""has side effects""]', 'Raltitrexed': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Cyramza and Ramucirumab. 

    Cyramza = []
    Ramucirumab = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Cyramza': '[""safe"", ""effective"", ""has side effects""]', 'Ramucirumab': '[""safe"", ""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Cymer and Ranimustine. 

    Cymer = []
    Ranimustine = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,{}
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Nublexa and Regorafenib. 

    Nublexa = []
    Regorafenib = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Nublexa': '[""safe"", ""effective"", ""has side effects""]', 'Regorafenib': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Kisqali and Ribociclib. 

    Kisqali = []
    Ribociclib = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Kisqali': '[""safe"", ""effective"", ""has side effects""]', 'Ribociclib': '[""safe"", ""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Ikgdar and Rituximab. 

    Ikgdar = []
    Rituximab = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Ikgdar': '[""unsafe"", ""ineffective"", ""has side effects""]', 'Rituximab': '[""safe"", ""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Rituxan Hycela and Rituximab and hyaluronidase human. 

    Rituxan Hycela = []
    Rituximab and hyaluronidase human = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Hycela': '[""safe"", ""effective"", ""has side effects""]', 'human': '[""safe"", ""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Istodax and Romidepsin. 

    Istodax = []
    Romidepsin = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Istodax': '[""effective"", ""has side effects""]', 'Romidepsin': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Besremi and Ropeginterferon alfa-2b. 

    Besremi = []
    Ropeginterferon alfa-2b = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Besremi': '[""safe"", ""effective"", ""has side effects""]', '2b': '[""safe"", ""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Rubraca and Rucaparib. 

    Rubraca = []
    Rucaparib = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Rubraca': '[""safe"", ""effective"", ""has side effects""]', 'Rucaparib': '[""safe"", ""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Jakafi and Ruxolitinib. 

    Jakafi = []
    Ruxolitinib = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Jakafi': '[""effective"", ""has side effects""]', 'Ruxolitinib': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Trodelvy and Sacituzumab govitecan. 

    Trodelvy = []
    Sacituzumab govitecan = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Trodelvy': '[""safe"", ""effective"", ""has side effects""]', 'govitecan': '[""safe"", ""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Leukine and Sargramostim. 

    Leukine = []
    Sargramostim = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Leukine': '[""safe"", ""effective"", ""has side effects""]', 'Sargramostim': '[""safe"", ""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Nexpovio and Selinexor. 

    Nexpovio = []
    Selinexor = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Nexpovio': '[""effective"", ""has side effects""]', 'Selinexor': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Koselugo and Selumetinib. 

    Koselugo = []
    Selumetinib = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Koselugo': '[""safe"", ""effective"", ""has side effects""]', 'Selumetinib': '[""safe"", ""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Semustina and Semustine. 

    Semustina = []
    Semustine = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Semustina': '[""unsafe"", ""ineffective""]', 'Semustine': '[""unsafe"", ""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Provenge and Sipuleucel-T. 

    Provenge = []
    Sipuleucel-T = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Provenge': '[""safe"", ""effective"", ""has side effects""]', 'T': '[""safe"", ""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Odomzo and Sonidegib. 

    Odomzo = []
    Sonidegib = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Odomzo': '[""effective"", ""has side effects""]', 'Sonidegib': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Nexavar and Sorafenib. 

    Nexavar = []
    Sorafenib = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Nexavar': '[""safe"", ""effective"", ""has side effects""]', 'Sorafenib': '[""safe"", ""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Zanosar and Streptozocin. 

    Zanosar = []
    Streptozocin = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Zanosar': '[""effective"", ""has side effects""]', 'Streptozocin': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Kitent and Sunitinib. 

    Kitent = []
    Sunitinib = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Kitent': '[""effective"", ""has side effects""]', 'Sunitinib': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Elzonris and Tagraxofusp. 

    Elzonris = []
    Tagraxofusp = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Elzonris': '[""safe"", ""effective"", ""has side effects""]', 'Tagraxofusp': '[""safe"", ""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Talzenna and Talazoparib. 

    Talzenna = []
    Talazoparib = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Talzenna': '[""safe"", ""effective"", ""has side effects""]', 'Talazoparib': '[""safe"", ""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Imlygic and Talimogene laherparepvec. 

    Imlygic = []
    Talimogene laherparepvec = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Imlygic': '[""safe"", ""effective"", ""has side effects""]', 'laherparepvec': '[""safe"", ""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Amnoid and Tamibarotene. 

    Amnoid = []
    Tamibarotene = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Amnoid': '[""unsafe"", ""ineffective"", ""has side effects""]', 'Tamibarotene': '[""safe"", ""effective"", ""side effect free""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Istubal and Tamoxifen. 

    Istubal = []
    Tamoxifen = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Istubal': '[""unsafe"", ""ineffective""]', 'Tamoxifen': '[""safe"", ""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Teysuno and Tegafur gimeracil oteracil. 

    Teysuno = []
    Tegafur gimeracil oteracil = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Teysuno': '[""safe"", ""effective"", ""has side effects""]', 'oteracil': '[""safe"", ""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Ftorafur and Tegafur and uracil. 

    Ftorafur = []
    Tegafur and uracil = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Ftorafur': '[""effective"", ""has side effects""]', 'uracil': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Gliotem and Temozolomide. 

    Gliotem = []
    Temozolomide = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Gliotem': '[""unsafe"", ""ineffective""]', 'Temozolomide': '[""safe"", ""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Torisel and Temsirolimus. 

    Torisel = []
    Temsirolimus = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Torisel': '[""safe"", ""effective"", ""has side effects""]', 'Temsirolimus': '[""safe"", ""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Vumon and Teniposide. 

    Vumon = []
    Teniposide = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Vumon': '[""effective"", ""has side effects""]', 'Teniposide': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Contergan and Thalidomide. 

    Contergan = []
    Thalidomide = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Contergan': '[""unsafe"", ""ineffective"", ""has side effects""]', 'Thalidomide': '[""unsafe"", ""ineffective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Lanvis and Thioguanine. 

    Lanvis = []
    Thioguanine = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Lanvis': '[""effective"", ""has side effects""]', 'Thioguanine': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Tepadina and Thiotepa. 

    Tepadina = []
    Thiotepa = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Tepadina': '[""safe"", ""effective"", ""has side effects""]', 'Thiotepa': '[""safe"", ""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Kymriah and Tisagenlecleucel. 

    Kymriah = []
    Tisagenlecleucel = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Kymriah': '[""effective"", ""has side effects""]', 'Tisagenlecleucel': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Fotivda and Tivozanib. 

    Fotivda = []
    Tivozanib = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Fotivda': '[""effective"", ""has side effects""]', 'Tivozanib': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Evotopin and Topotecan. 

    Evotopin = []
    Topotecan = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Evotopin': '[""safe"", ""effective"", ""side effect free""]', 'Topotecan': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Acapodene and Toremifene. 

    Acapodene = []
    Toremifene = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Acapodene': '[""effective"", ""has side effects""]', 'Toremifene': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Bexxar and Tositumomab and I-131. 

    Bexxar = []
    Tositumomab and I-131 = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Bexxar': '[""effective"", ""has side effects""]', '131': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Yondelis and Trabectedin. 

    Yondelis = []
    Trabectedin = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Yondelis': '[""effective"", ""has side effects""]', 'Trabectedin': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Mekinist and Trametinib. 

    Mekinist = []
    Trametinib = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Mekinist': '[""safe"", ""effective"", ""has side effects""]', 'Trametinib': '[""safe"", ""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Amixam and Tranexamic acid. 

    Amixam = []
    Tranexamic acid = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Amixam': '[""unsafe"", ""ineffective"", ""has side effects""]', 'acid': '[""safe"", ""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Biceltis and Trastuzumab. 

    Biceltis = []
    Trastuzumab = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Biceltis': '[""safe"", ""effective"", ""has side effects""]', 'Trastuzumab': '[""safe"", ""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Imjudo and Tremelimumab. 

    Imjudo = []
    Tremelimumab = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Imjudo': '[""safe"", ""effective"", ""has side effects""]', 'Tremelimumab': '[""safe"", ""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Ovastat and Treosulfan. 

    Ovastat = []
    Treosulfan = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Ovastat': '[""safe"", ""effective"", ""side effect free""]', 'Treosulfan': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Lonsurf and Trifluridine and tipiracil. 

    Lonsurf = []
    Trifluridine and tipiracil = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Lonsurf': '[""effective"", ""has side effects""]', 'tipiracil': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Decapeptyl and Triptorelin. 

    Decapeptyl = []
    Triptorelin = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Decapeptyl': '[""safe"", ""effective"", ""has side effects""]', 'Triptorelin': '[""safe"", ""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Depacon and Valproate. 

    Depacon = []
    Valproate = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Depacon': '[""effective"", ""has side effects""]', 'Valproate': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Valstar and Valrubicin. 

    Valstar = []
    Valrubicin = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Valstar': '[""effective"", ""has side effects""]', 'Valrubicin': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Caprelsa and Vandetanib. 

    Caprelsa = []
    Vandetanib = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Caprelsa': '[""effective"", ""has side effects""]', 'Vandetanib': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Zelboraf and Vemurafenib. 

    Zelboraf = []
    Vemurafenib = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Zelboraf': '[""effective"", ""has side effects""]', 'Vemurafenib': '[""effective"", ""has side effects""]'}"
"Question: 
    Here is a list of adjectives: safe, unsafe, effective, ineffective, has side effects, side effect free.

    Please categorize each adjective by appending them to one of the following Python lists based on your knowledge of the drugs Venclexta and Venetoclax. 

    Venclexta = []
    Venetoclax = []

    Only return the two Python lists with the appropriate adjectives.
    ",claude-3-5-sonnet@20240620,"{'Venclexta': '[""safe"", ""effective"", ""has side effects""]', 'Venetoclax': '[""safe"", ""effective"", ""has side effects""]'}"
