concept_code,string_type,string,question_about,question_patient,question_physician
388,preferred,Pegaspargase,Tell me about Pegaspargase.,"As a patient, what should I know about Pegaspargase?","As a physician, what should I know about Pegaspargase?"
391,preferred,Peginterferon alfa-2a,Tell me about Peginterferon alfa-2a.,"As a patient, what should I know about Peginterferon alfa-2a?","As a physician, what should I know about Peginterferon alfa-2a?"
392,preferred,Peginterferon alfa-2b,Tell me about Peginterferon alfa-2b.,"As a patient, what should I know about Peginterferon alfa-2b?","As a physician, what should I know about Peginterferon alfa-2b?"
393,preferred,Pegylated liposomal doxorubicin,Tell me about Pegylated liposomal doxorubicin.,"As a patient, what should I know about Pegylated liposomal doxorubicin?","As a physician, what should I know about Pegylated liposomal doxorubicin?"
394,preferred,Pembrolizumab,Tell me about Pembrolizumab.,"As a patient, what should I know about Pembrolizumab?","As a physician, what should I know about Pembrolizumab?"
395,preferred,Pemetrexed,Tell me about Pemetrexed.,"As a patient, what should I know about Pemetrexed?","As a physician, what should I know about Pemetrexed?"
397,preferred,Pentostatin,Tell me about Pentostatin.,"As a patient, what should I know about Pentostatin?","As a physician, what should I know about Pentostatin?"
400,preferred,Pertuzumab,Tell me about Pertuzumab.,"As a patient, what should I know about Pertuzumab?","As a physician, what should I know about Pertuzumab?"
405,preferred,Pirarubicin,Tell me about Pirarubicin.,"As a patient, what should I know about Pirarubicin?","As a physician, what should I know about Pirarubicin?"
406,preferred,Pixantrone,Tell me about Pixantrone.,"As a patient, what should I know about Pixantrone?","As a physician, what should I know about Pixantrone?"
408,preferred,Plicamycin,Tell me about Plicamycin.,"As a patient, what should I know about Plicamycin?","As a physician, what should I know about Plicamycin?"
410,preferred,Pomalidomide,Tell me about Pomalidomide.,"As a patient, what should I know about Pomalidomide?","As a physician, what should I know about Pomalidomide?"
411,preferred,Ponatinib,Tell me about Ponatinib.,"As a patient, what should I know about Ponatinib?","As a physician, what should I know about Ponatinib?"
414,preferred,Pralatrexate,Tell me about Pralatrexate.,"As a patient, what should I know about Pralatrexate?","As a physician, what should I know about Pralatrexate?"
416,preferred,Pravastatin,Tell me about Pravastatin.,"As a patient, what should I know about Pravastatin?","As a physician, what should I know about Pravastatin?"
417,preferred,Prednisolone,Tell me about Prednisolone.,"As a patient, what should I know about Prednisolone?","As a physician, what should I know about Prednisolone?"
418,preferred,Prednisone,Tell me about Prednisone.,"As a patient, what should I know about Prednisone?","As a physician, what should I know about Prednisone?"
419,preferred,Procarbazine,Tell me about Procarbazine.,"As a patient, what should I know about Procarbazine?","As a physician, what should I know about Procarbazine?"
424,preferred,Quinine,Tell me about Quinine.,"As a patient, what should I know about Quinine?","As a physician, what should I know about Quinine?"
426,preferred,Quizartinib,Tell me about Quizartinib.,"As a patient, what should I know about Quizartinib?","As a physician, what should I know about Quizartinib?"
429,preferred,Radotinib,Tell me about Radotinib.,"As a patient, what should I know about Radotinib?","As a physician, what should I know about Radotinib?"
431,preferred,Raltitrexed,Tell me about Raltitrexed.,"As a patient, what should I know about Raltitrexed?","As a physician, what should I know about Raltitrexed?"
433,preferred,Ramucirumab,Tell me about Ramucirumab.,"As a patient, what should I know about Ramucirumab?","As a physician, what should I know about Ramucirumab?"
434,preferred,Ranimustine,Tell me about Ranimustine.,"As a patient, what should I know about Ranimustine?","As a physician, what should I know about Ranimustine?"
438,preferred,Regorafenib,Tell me about Regorafenib.,"As a patient, what should I know about Regorafenib?","As a physician, what should I know about Regorafenib?"
441,preferred,Ribociclib,Tell me about Ribociclib.,"As a patient, what should I know about Ribociclib?","As a physician, what should I know about Ribociclib?"
446,preferred,Rituximab,Tell me about Rituximab.,"As a patient, what should I know about Rituximab?","As a physician, what should I know about Rituximab?"
447,preferred,Rituximab and hyaluronidase human,Tell me about Rituximab and hyaluronidase human.,"As a patient, what should I know about Rituximab and hyaluronidase human?","As a physician, what should I know about Rituximab and hyaluronidase human?"
451,preferred,Romidepsin,Tell me about Romidepsin.,"As a patient, what should I know about Romidepsin?","As a physician, what should I know about Romidepsin?"
453,preferred,Ropeginterferon alfa-2b,Tell me about Ropeginterferon alfa-2b.,"As a patient, what should I know about Ropeginterferon alfa-2b?","As a physician, what should I know about Ropeginterferon alfa-2b?"
454,preferred,Rucaparib,Tell me about Rucaparib.,"As a patient, what should I know about Rucaparib?","As a physician, what should I know about Rucaparib?"
455,preferred,Ruxolitinib,Tell me about Ruxolitinib.,"As a patient, what should I know about Ruxolitinib?","As a physician, what should I know about Ruxolitinib?"
456,preferred,Sacituzumab govitecan,Tell me about Sacituzumab govitecan.,"As a patient, what should I know about Sacituzumab govitecan?","As a physician, what should I know about Sacituzumab govitecan?"
459,preferred,Sargramostim,Tell me about Sargramostim.,"As a patient, what should I know about Sargramostim?","As a physician, what should I know about Sargramostim?"
461,preferred,Selinexor,Tell me about Selinexor.,"As a patient, what should I know about Selinexor?","As a physician, what should I know about Selinexor?"
462,preferred,Selumetinib,Tell me about Selumetinib.,"As a patient, what should I know about Selumetinib?","As a physician, what should I know about Selumetinib?"
464,preferred,Semustine,Tell me about Semustine.,"As a patient, what should I know about Semustine?","As a physician, what should I know about Semustine?"
467,preferred,Sipuleucel-T,Tell me about Sipuleucel-T.,"As a patient, what should I know about Sipuleucel-T?","As a physician, what should I know about Sipuleucel-T?"
469,preferred,Sonidegib,Tell me about Sonidegib.,"As a patient, what should I know about Sonidegib?","As a physician, what should I know about Sonidegib?"
470,preferred,Sorafenib,Tell me about Sorafenib.,"As a patient, what should I know about Sorafenib?","As a physician, what should I know about Sorafenib?"
472,preferred,Streptozocin,Tell me about Streptozocin.,"As a patient, what should I know about Streptozocin?","As a physician, what should I know about Streptozocin?"
473,preferred,Sunitinib,Tell me about Sunitinib.,"As a patient, what should I know about Sunitinib?","As a physician, what should I know about Sunitinib?"
475,preferred,Tagraxofusp,Tell me about Tagraxofusp.,"As a patient, what should I know about Tagraxofusp?","As a physician, what should I know about Tagraxofusp?"
476,preferred,Talazoparib,Tell me about Talazoparib.,"As a patient, what should I know about Talazoparib?","As a physician, what should I know about Talazoparib?"
477,preferred,Talimogene laherparepvec,Tell me about Talimogene laherparepvec.,"As a patient, what should I know about Talimogene laherparepvec?","As a physician, what should I know about Talimogene laherparepvec?"
478,preferred,Tamibarotene,Tell me about Tamibarotene.,"As a patient, what should I know about Tamibarotene?","As a physician, what should I know about Tamibarotene?"
479,preferred,Tamoxifen,Tell me about Tamoxifen.,"As a patient, what should I know about Tamoxifen?","As a physician, what should I know about Tamoxifen?"
481,preferred,Tegafur gimeracil oteracil,Tell me about Tegafur gimeracil oteracil.,"As a patient, what should I know about Tegafur gimeracil oteracil?","As a physician, what should I know about Tegafur gimeracil oteracil?"
482,preferred,Tegafur and uracil,Tell me about Tegafur and uracil.,"As a patient, what should I know about Tegafur and uracil?","As a physician, what should I know about Tegafur and uracil?"
484,preferred,Temozolomide,Tell me about Temozolomide.,"As a patient, what should I know about Temozolomide?","As a physician, what should I know about Temozolomide?"
485,preferred,Temsirolimus,Tell me about Temsirolimus.,"As a patient, what should I know about Temsirolimus?","As a physician, what should I know about Temsirolimus?"
486,preferred,Teniposide,Tell me about Teniposide.,"As a patient, what should I know about Teniposide?","As a physician, what should I know about Teniposide?"
488,preferred,Thalidomide,Tell me about Thalidomide.,"As a patient, what should I know about Thalidomide?","As a physician, what should I know about Thalidomide?"
489,preferred,Thioguanine,Tell me about Thioguanine.,"As a patient, what should I know about Thioguanine?","As a physician, what should I know about Thioguanine?"
490,preferred,Thiotepa,Tell me about Thiotepa.,"As a patient, what should I know about Thiotepa?","As a physician, what should I know about Thiotepa?"
498,preferred,Tisagenlecleucel,Tell me about Tisagenlecleucel.,"As a patient, what should I know about Tisagenlecleucel?","As a physician, what should I know about Tisagenlecleucel?"
500,preferred,Tivozanib,Tell me about Tivozanib.,"As a patient, what should I know about Tivozanib?","As a physician, what should I know about Tivozanib?"
503,preferred,Topotecan,Tell me about Topotecan.,"As a patient, what should I know about Topotecan?","As a physician, what should I know about Topotecan?"
504,preferred,Toremifene,Tell me about Toremifene.,"As a patient, what should I know about Toremifene?","As a physician, what should I know about Toremifene?"
506,preferred,Tositumomab and I-131,Tell me about Tositumomab and I-131.,"As a patient, what should I know about Tositumomab and I-131?","As a physician, what should I know about Tositumomab and I-131?"
507,preferred,Trabectedin,Tell me about Trabectedin.,"As a patient, what should I know about Trabectedin?","As a physician, what should I know about Trabectedin?"
508,preferred,Trametinib,Tell me about Trametinib.,"As a patient, what should I know about Trametinib?","As a physician, what should I know about Trametinib?"
509,preferred,Tranexamic acid,Tell me about Tranexamic acid.,"As a patient, what should I know about Tranexamic acid?","As a physician, what should I know about Tranexamic acid?"
512,preferred,Trastuzumab,Tell me about Trastuzumab.,"As a patient, what should I know about Trastuzumab?","As a physician, what should I know about Trastuzumab?"
514,preferred,Tremelimumab,Tell me about Tremelimumab.,"As a patient, what should I know about Tremelimumab?","As a physician, what should I know about Tremelimumab?"
515,preferred,Treosulfan,Tell me about Treosulfan.,"As a patient, what should I know about Treosulfan?","As a physician, what should I know about Treosulfan?"
516,preferred,Trifluridine and tipiracil,Tell me about Trifluridine and tipiracil.,"As a patient, what should I know about Trifluridine and tipiracil?","As a physician, what should I know about Trifluridine and tipiracil?"
518,preferred,Triptorelin,Tell me about Triptorelin.,"As a patient, what should I know about Triptorelin?","As a physician, what should I know about Triptorelin?"
527,preferred,Valproate,Tell me about Valproate.,"As a patient, what should I know about Valproate?","As a physician, what should I know about Valproate?"
528,preferred,Valrubicin,Tell me about Valrubicin.,"As a patient, what should I know about Valrubicin?","As a physician, what should I know about Valrubicin?"
529,preferred,Vandetanib,Tell me about Vandetanib.,"As a patient, what should I know about Vandetanib?","As a physician, what should I know about Vandetanib?"
533,preferred,Vemurafenib,Tell me about Vemurafenib.,"As a patient, what should I know about Vemurafenib?","As a physician, what should I know about Vemurafenib?"
534,preferred,Venetoclax,Tell me about Venetoclax.,"As a patient, what should I know about Venetoclax?","As a physician, what should I know about Venetoclax?"
535,preferred,Vinblastine,Tell me about Vinblastine.,"As a patient, what should I know about Vinblastine?","As a physician, what should I know about Vinblastine?"
536,preferred,Vincristine,Tell me about Vincristine.,"As a patient, what should I know about Vincristine?","As a physician, what should I know about Vincristine?"
537,preferred,Vincristine liposomal,Tell me about Vincristine liposomal.,"As a patient, what should I know about Vincristine liposomal?","As a physician, what should I know about Vincristine liposomal?"
538,preferred,Vindesine,Tell me about Vindesine.,"As a patient, what should I know about Vindesine?","As a physician, what should I know about Vindesine?"
539,preferred,Vinflunine,Tell me about Vinflunine.,"As a patient, what should I know about Vinflunine?","As a physician, what should I know about Vinflunine?"
540,preferred,Vinorelbine,Tell me about Vinorelbine.,"As a patient, what should I know about Vinorelbine?","As a physician, what should I know about Vinorelbine?"
541,preferred,Vismodegib,Tell me about Vismodegib.,"As a patient, what should I know about Vismodegib?","As a physician, what should I know about Vismodegib?"
545,preferred,Vorinostat,Tell me about Vorinostat.,"As a patient, what should I know about Vorinostat?","As a physician, what should I know about Vorinostat?"
548,preferred,Zidovudine,Tell me about Zidovudine.,"As a patient, what should I know about Zidovudine?","As a physician, what should I know about Zidovudine?"
549,preferred,Ziv-aflibercept,Tell me about Ziv-aflibercept.,"As a patient, what should I know about Ziv-aflibercept?","As a physician, what should I know about Ziv-aflibercept?"
3231,preferred,Capmatinib,Tell me about Capmatinib.,"As a patient, what should I know about Capmatinib?","As a physician, what should I know about Capmatinib?"
3563,preferred,Enfortumab vedotin,Tell me about Enfortumab vedotin.,"As a patient, what should I know about Enfortumab vedotin?","As a physician, what should I know about Enfortumab vedotin?"
3590,preferred,Trastuzumab deruxtecan,Tell me about Trastuzumab deruxtecan.,"As a patient, what should I know about Trastuzumab deruxtecan?","As a physician, what should I know about Trastuzumab deruxtecan?"
3652,preferred,Abarelix,Tell me about Abarelix.,"As a patient, what should I know about Abarelix?","As a physician, what should I know about Abarelix?"
4380,preferred,Belantamab mafodotin,Tell me about Belantamab mafodotin.,"As a patient, what should I know about Belantamab mafodotin?","As a physician, what should I know about Belantamab mafodotin?"
4683,preferred,Tucatinib,Tell me about Tucatinib.,"As a patient, what should I know about Tucatinib?","As a physician, what should I know about Tucatinib?"
4940,preferred,Daratumumab and hyaluronidase,Tell me about Daratumumab and hyaluronidase.,"As a patient, what should I know about Daratumumab and hyaluronidase?","As a physician, what should I know about Daratumumab and hyaluronidase?"
6008,preferred,Alitretinoin,Tell me about Alitretinoin.,"As a patient, what should I know about Alitretinoin?","As a physician, what should I know about Alitretinoin?"
6632,preferred,Brexucabtagene autoleucel,Tell me about Brexucabtagene autoleucel.,"As a patient, what should I know about Brexucabtagene autoleucel?","As a physician, what should I know about Brexucabtagene autoleucel?"
10396,preferred,Alpelisib,Tell me about Alpelisib.,"As a patient, what should I know about Alpelisib?","As a physician, what should I know about Alpelisib?"
10767,preferred,Amonafide,Tell me about Amonafide.,"As a patient, what should I know about Amonafide?","As a physician, what should I know about Amonafide?"
11533,preferred,Amoxicillin,Tell me about Amoxicillin.,"As a patient, what should I know about Amoxicillin?","As a physician, what should I know about Amoxicillin?"
12637,preferred,Aumolertinib,Tell me about Aumolertinib.,"As a patient, what should I know about Aumolertinib?","As a physician, what should I know about Aumolertinib?"
13351,preferred,Pemigatinib,Tell me about Pemigatinib.,"As a patient, what should I know about Pemigatinib?","As a physician, what should I know about Pemigatinib?"
13651,preferred,Ripretinib,Tell me about Ripretinib.,"As a patient, what should I know about Ripretinib?","As a physician, what should I know about Ripretinib?"
13759,preferred,Selpercatinib,Tell me about Selpercatinib.,"As a patient, what should I know about Selpercatinib?","As a physician, what should I know about Selpercatinib?"
14235,preferred,Decitabine and cedazuridine,Tell me about Decitabine and cedazuridine.,"As a patient, what should I know about Decitabine and cedazuridine?","As a physician, what should I know about Decitabine and cedazuridine?"
14330,preferred,Bismuth subsalicylate,Tell me about Bismuth subsalicylate.,"As a patient, what should I know about Bismuth subsalicylate?","As a physician, what should I know about Bismuth subsalicylate?"
14742,preferred,Camrelizumab,Tell me about Camrelizumab.,"As a patient, what should I know about Camrelizumab?","As a physician, what should I know about Camrelizumab?"
18352,preferred,Relugolix,Tell me about Relugolix.,"As a patient, what should I know about Relugolix?","As a physician, what should I know about Relugolix?"
18359,preferred,Elacestrant,Tell me about Elacestrant.,"As a patient, what should I know about Elacestrant?","As a physician, what should I know about Elacestrant?"
18846,preferred,Trimetrexate,Tell me about Trimetrexate.,"As a patient, what should I know about Trimetrexate?","As a physician, what should I know about Trimetrexate?"
19782,preferred,Tepotinib,Tell me about Tepotinib.,"As a patient, what should I know about Tepotinib?","As a physician, what should I know about Tepotinib?"
20248,preferred,Futibatinib,Tell me about Futibatinib.,"As a patient, what should I know about Futibatinib?","As a physician, what should I know about Futibatinib?"
20851,preferred,NovoTTF-100A system (Optune),Tell me about NovoTTF-100A system (Optune).,"As a patient, what should I know about NovoTTF-100A system (Optune)?","As a physician, what should I know about NovoTTF-100A system (Optune)?"
21215,preferred,Lisocabtagene maraleucel,Tell me about Lisocabtagene maraleucel.,"As a patient, what should I know about Lisocabtagene maraleucel?","As a physician, what should I know about Lisocabtagene maraleucel?"
23426,preferred,Idecabtagene vicleucel,Tell me about Idecabtagene vicleucel.,"As a patient, what should I know about Idecabtagene vicleucel?","As a physician, what should I know about Idecabtagene vicleucel?"
25334,preferred,Avapritinib,Tell me about Avapritinib.,"As a patient, what should I know about Avapritinib?","As a physician, what should I know about Avapritinib?"
25485,preferred,Pexidartinib,Tell me about Pexidartinib.,"As a patient, what should I know about Pexidartinib?","As a physician, what should I know about Pexidartinib?"
25527,preferred,Pralsetinib,Tell me about Pralsetinib.,"As a patient, what should I know about Pralsetinib?","As a physician, what should I know about Pralsetinib?"
26763,preferred,Lurbinectedin,Tell me about Lurbinectedin.,"As a patient, what should I know about Lurbinectedin?","As a physician, what should I know about Lurbinectedin?"
26852,preferred,Metronidazole,Tell me about Metronidazole.,"As a patient, what should I know about Metronidazole?","As a physician, what should I know about Metronidazole?"
26950,preferred,Naxitamab,Tell me about Naxitamab.,"As a patient, what should I know about Naxitamab?","As a physician, what should I know about Naxitamab?"
27930,preferred,Tetracycline,Tell me about Tetracycline.,"As a patient, what should I know about Tetracycline?","As a physician, what should I know about Tetracycline?"
27982,preferred,Tripotassium dicitratobismuthate,Tell me about Tripotassium dicitratobismuthate.,"As a patient, what should I know about Tripotassium dicitratobismuthate?","As a physician, what should I know about Tripotassium dicitratobismuthate?"
29688,preferred,Belzutifan,Tell me about Belzutifan.,"As a patient, what should I know about Belzutifan?","As a physician, what should I know about Belzutifan?"
29753,preferred,Amivantamab,Tell me about Amivantamab.,"As a patient, what should I know about Amivantamab?","As a physician, what should I know about Amivantamab?"
29973,preferred,Azacitidine oral,Tell me about Azacitidine oral.,"As a patient, what should I know about Azacitidine oral?","As a physician, what should I know about Azacitidine oral?"
34403,preferred,Colchicine,Tell me about Colchicine.,"As a patient, what should I know about Colchicine?","As a physician, what should I know about Colchicine?"
34976,preferred,Dostarlimab,Tell me about Dostarlimab.,"As a patient, what should I know about Dostarlimab?","As a physician, what should I know about Dostarlimab?"
35064,preferred,Serplulimab,Tell me about Serplulimab.,"As a patient, what should I know about Serplulimab?","As a physician, what should I know about Serplulimab?"
36080,preferred,Sugemalimab,Tell me about Sugemalimab.,"As a patient, what should I know about Sugemalimab?","As a physician, what should I know about Sugemalimab?"
43485,preferred,Sirolimus protein-bound particles,Tell me about Sirolimus protein-bound particles.,"As a patient, what should I know about Sirolimus protein-bound particles?","As a physician, what should I know about Sirolimus protein-bound particles?"
45472,preferred,Suramin,Tell me about Suramin.,"As a patient, what should I know about Suramin?","As a physician, what should I know about Suramin?"
45753,preferred,Adagrasib,Tell me about Adagrasib.,"As a patient, what should I know about Adagrasib?","As a physician, what should I know about Adagrasib?"
47700,preferred,Tebentafusp,Tell me about Tebentafusp.,"As a patient, what should I know about Tebentafusp?","As a physician, what should I know about Tebentafusp?"
48561,preferred,Fedratinib,Tell me about Fedratinib.,"As a patient, what should I know about Fedratinib?","As a physician, what should I know about Fedratinib?"
49082,preferred,Trastuzumab and hyaluronidase,Tell me about Trastuzumab and hyaluronidase.,"As a patient, what should I know about Trastuzumab and hyaluronidase?","As a physician, what should I know about Trastuzumab and hyaluronidase?"
50482,preferred,Zanubrutinib,Tell me about Zanubrutinib.,"As a patient, what should I know about Zanubrutinib?","As a physician, what should I know about Zanubrutinib?"
51224,preferred,Furmonertinib,Tell me about Furmonertinib.,"As a patient, what should I know about Furmonertinib?","As a physician, what should I know about Furmonertinib?"
51229,preferred,Ciltacabtagene autoleucel,Tell me about Ciltacabtagene autoleucel.,"As a patient, what should I know about Ciltacabtagene autoleucel?","As a physician, what should I know about Ciltacabtagene autoleucel?"
53780,preferred,Asciminib,Tell me about Asciminib.,"As a patient, what should I know about Asciminib?","As a physician, what should I know about Asciminib?"
53908,preferred,Loncastuximab tesirine,Tell me about Loncastuximab tesirine.,"As a patient, what should I know about Loncastuximab tesirine?","As a physician, what should I know about Loncastuximab tesirine?"
54224,preferred,Tazemetostat,Tell me about Tazemetostat.,"As a patient, what should I know about Tazemetostat?","As a physician, what should I know about Tazemetostat?"
59120,preferred,Nivolumab and relatlimab,Tell me about Nivolumab and relatlimab.,"As a patient, what should I know about Nivolumab and relatlimab?","As a physician, what should I know about Nivolumab and relatlimab?"
59220,preferred,Interferon alfa-2c,Tell me about Interferon alfa-2c.,"As a patient, what should I know about Interferon alfa-2c?","As a physician, what should I know about Interferon alfa-2c?"
59221,preferred,Interferon alfa-n1,Tell me about Interferon alfa-n1.,"As a patient, what should I know about Interferon alfa-n1?","As a physician, what should I know about Interferon alfa-n1?"
59291,preferred,Margetuximab,Tell me about Margetuximab.,"As a patient, what should I know about Margetuximab?","As a physician, what should I know about Margetuximab?"
59461,preferred,Sotorasib,Tell me about Sotorasib.,"As a patient, what should I know about Sotorasib?","As a physician, what should I know about Sotorasib?"
59505,preferred,Umbralisib,Tell me about Umbralisib.,"As a patient, what should I know about Umbralisib?","As a physician, what should I know about Umbralisib?"
61131,preferred,Sintilimab,Tell me about Sintilimab.,"As a patient, what should I know about Sintilimab?","As a physician, what should I know about Sintilimab?"
61419,preferred,Pirtobrutinib,Tell me about Pirtobrutinib.,"As a patient, what should I know about Pirtobrutinib?","As a physician, what should I know about Pirtobrutinib?"
64471,preferred,Toripalimab,Tell me about Toripalimab.,"As a patient, what should I know about Toripalimab?","As a physician, what should I know about Toripalimab?"
65150,preferred,Teclistamab,Tell me about Teclistamab.,"As a patient, what should I know about Teclistamab?","As a physician, what should I know about Teclistamab?"
69109,preferred,Mobocertinib,Tell me about Mobocertinib.,"As a patient, what should I know about Mobocertinib?","As a physician, what should I know about Mobocertinib?"
71307,preferred,Tisotumab vedotin,Tell me about Tisotumab vedotin.,"As a patient, what should I know about Tisotumab vedotin?","As a physician, what should I know about Tisotumab vedotin?"
75279,preferred,Lanreotide LAR,Tell me about Lanreotide LAR.,"As a patient, what should I know about Lanreotide LAR?","As a physician, what should I know about Lanreotide LAR?"
75337,preferred,Pimitespib,Tell me about Pimitespib.,"As a patient, what should I know about Pimitespib?","As a physician, what should I know about Pimitespib?"
76031,preferred,Prednimustine,Tell me about Prednimustine.,"As a patient, what should I know about Prednimustine?","As a physician, what should I know about Prednimustine?"
76563,preferred,Pipobroman,Tell me about Pipobroman.,"As a patient, what should I know about Pipobroman?","As a physician, what should I know about Pipobroman?"
93818,preferred,Polatuzumab vedotin,Tell me about Polatuzumab vedotin.,"As a patient, what should I know about Polatuzumab vedotin?","As a physician, what should I know about Polatuzumab vedotin?"
109643,preferred,Mirvetuximab soravtansine,Tell me about Mirvetuximab soravtansine.,"As a patient, what should I know about Mirvetuximab soravtansine?","As a physician, what should I know about Mirvetuximab soravtansine?"
111261,preferred,Mosunetuzumab,Tell me about Mosunetuzumab.,"As a patient, what should I know about Mosunetuzumab?","As a physician, what should I know about Mosunetuzumab?"
111273,preferred,Nadofaragene firadenovec,Tell me about Nadofaragene firadenovec.,"As a patient, what should I know about Nadofaragene firadenovec?","As a physician, what should I know about Nadofaragene firadenovec?"
111358,preferred,Olutasidenib,Tell me about Olutasidenib.,"As a patient, what should I know about Olutasidenib?","As a physician, what should I know about Olutasidenib?"
111427,preferred,Pyrotinib,Tell me about Pyrotinib.,"As a patient, what should I know about Pyrotinib?","As a physician, what should I know about Pyrotinib?"
114346,preferred,Buserelin,Tell me about Buserelin.,"As a patient, what should I know about Buserelin?","As a physician, what should I know about Buserelin?"
114432,preferred,Lifileuecel,Tell me about Lifileuecel.,"As a patient, what should I know about Lifileuecel?","As a physician, what should I know about Lifileuecel?"
114494,preferred,Tabelecleucel,Tell me about Tabelecleucel.,"As a patient, what should I know about Tabelecleucel?","As a physician, what should I know about Tabelecleucel?"
4,brand,Verzenio,Tell me about Verzenio.,"As a patient, what should I know about Verzenio?","As a physician, what should I know about Verzenio?"
6,brand,Abatitor,Tell me about Abatitor.,"As a patient, what should I know about Abatitor?","As a physician, what should I know about Abatitor?"
7,brand,Calquence,Tell me about Calquence.,"As a patient, what should I know about Calquence?","As a physician, what should I know about Calquence?"
9,brand,Aclacin,Tell me about Aclacin.,"As a patient, what should I know about Aclacin?","As a physician, what should I know about Aclacin?"
12,brand,Kadcyla,Tell me about Kadcyla.,"As a patient, what should I know about Kadcyla?","As a physician, what should I know about Kadcyla?"
13,brand,Afanix,Tell me about Afanix.,"As a patient, what should I know about Afanix?","As a physician, what should I know about Afanix?"
15,brand,Macrolin,Tell me about Macrolin.,"As a patient, what should I know about Macrolin?","As a physician, what should I know about Macrolin?"
16,brand,Alecensa,Tell me about Alecensa.,"As a patient, what should I know about Alecensa?","As a physician, what should I know about Alecensa?"
17,brand,Campath,Tell me about Campath.,"As a patient, what should I know about Campath?","As a physician, what should I know about Campath?"
20,brand,CA ATRA,Tell me about CA ATRA.,"As a patient, what should I know about CA ATRA?","As a physician, what should I know about CA ATRA?"
23,brand,Hexalen,Tell me about Hexalen.,"As a patient, what should I know about Hexalen?","As a physician, what should I know about Hexalen?"
28,brand,Aminoblastin,Tell me about Aminoblastin.,"As a patient, what should I know about Aminoblastin?","As a physician, what should I know about Aminoblastin?"
30,brand,Calsed,Tell me about Calsed.,"As a patient, what should I know about Calsed?","As a physician, what should I know about Calsed?"
31,brand,Amekrin,Tell me about Amekrin.,"As a patient, what should I know about Amekrin?","As a physician, what should I know about Amekrin?"
33,brand,Altraz,Tell me about Altraz.,"As a patient, what should I know about Altraz?","As a physician, what should I know about Altraz?"
39,brand,Erleada,Tell me about Erleada.,"As a patient, what should I know about Erleada?","As a physician, what should I know about Erleada?"
40,brand,Aitan,Tell me about Aitan.,"As a patient, what should I know about Aitan?","As a physician, what should I know about Aitan?"
44,brand,Arsenol,Tell me about Arsenol.,"As a patient, what should I know about Arsenol?","As a physician, what should I know about Arsenol?"
45,brand,Asparaginasa,Tell me about Asparaginasa.,"As a patient, what should I know about Asparaginasa?","As a physician, what should I know about Asparaginasa?"
46,brand,Erwinase,Tell me about Erwinase.,"As a patient, what should I know about Erwinase?","As a physician, what should I know about Erwinase?"
49,brand,Tecentriq,Tell me about Tecentriq.,"As a patient, what should I know about Tecentriq?","As a physician, what should I know about Tecentriq?"
53,brand,Bavencio,Tell me about Bavencio.,"As a patient, what should I know about Bavencio?","As a physician, what should I know about Bavencio?"
54,brand,Yescarta,Tell me about Yescarta.,"As a patient, what should I know about Yescarta?","As a physician, what should I know about Yescarta?"
55,brand,Axishil,Tell me about Axishil.,"As a patient, what should I know about Axishil?","As a physician, what should I know about Axishil?"
56,brand,Azacitidina,Tell me about Azacitidina.,"As a patient, what should I know about Azacitidina?","As a physician, what should I know about Azacitidina?"
59,brand,TheraCys,Tell me about TheraCys.,"As a patient, what should I know about TheraCys?","As a physician, what should I know about TheraCys?"
61,brand,Tarvacin,Tell me about Tarvacin.,"As a patient, what should I know about Tarvacin?","As a physician, what should I know about Tarvacin?"
63,brand,Beleodaq,Tell me about Beleodaq.,"As a patient, what should I know about Beleodaq?","As a physician, what should I know about Beleodaq?"
64,brand,Camptobell,Tell me about Camptobell.,"As a patient, what should I know about Camptobell?","As a physician, what should I know about Camptobell?"
65,brand,Belrapzo,Tell me about Belrapzo.,"As a patient, what should I know about Belrapzo?","As a physician, what should I know about Belrapzo?"
68,brand,Altuzan,Tell me about Altuzan.,"As a patient, what should I know about Altuzan?","As a physician, what should I know about Altuzan?"
69,brand,Bexgratin,Tell me about Bexgratin.,"As a patient, what should I know about Bexgratin?","As a physician, what should I know about Bexgratin?"
70,brand,Calutide,Tell me about Calutide.,"As a patient, what should I know about Calutide?","As a physician, what should I know about Calutide?"
71,brand,Mektovi,Tell me about Mektovi.,"As a patient, what should I know about Mektovi?","As a physician, what should I know about Mektovi?"
73,brand,Blenoxane,Tell me about Blenoxane.,"As a patient, what should I know about Blenoxane?","As a physician, what should I know about Blenoxane?"
74,brand,Blincyto,Tell me about Blincyto.,"As a patient, what should I know about Blincyto?","As a physician, what should I know about Blincyto?"
75,brand,Biocure,Tell me about Biocure.,"As a patient, what should I know about Biocure?","As a physician, what should I know about Biocure?"
76,brand,Bosulif,Tell me about Bosulif.,"As a patient, what should I know about Bosulif?","As a physician, what should I know about Bosulif?"
77,brand,Adcetris,Tell me about Adcetris.,"As a patient, what should I know about Adcetris?","As a physician, what should I know about Adcetris?"
78,brand,Alunbrig,Tell me about Alunbrig.,"As a patient, what should I know about Alunbrig?","As a physician, what should I know about Alunbrig?"
80,brand,Busilvex,Tell me about Busilvex.,"As a patient, what should I know about Busilvex?","As a physician, what should I know about Busilvex?"
81,brand,Cabapan,Tell me about Cabapan.,"As a patient, what should I know about Cabapan?","As a physician, what should I know about Cabapan?"
