concept_code,string_type_preferred,Unnamed: 0_preferred,string_preferred,string_type_brand,Unnamed: 0_brand,string_brand,stem_effective_preferred_position,stem_effective_brand_position,stem_effective_question,stem_safe_preferred_position,stem_safe_brand_position,stem_safe_question,stem_associated with side effects_preferred_position,stem_associated with side effects_brand_position,stem_associated with side effects_question,stem_likely to make me sick_preferred_position,stem_likely to make me sick_brand_position,stem_likely to make me sick_question,stem_inferred_effective,stem_inferred_safe,stem_inferred_associated with side effects,stem_inferred_likely to make me sick
188,preferred name,2164,Entrectinib,brand name,2166,Rozlytrek,2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Rozlytrek, 2: Entrectinib",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Rozlytrek, 2: Entrectinib",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Rozlytrek, 2: Entrectinib",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Entrectinib, 2: Rozlytrek",2,2,2,2
189,preferred name,2167,Enzalutamide,brand name,2169,Azel,2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Azel, 2: Enzalutamide",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Enzalutamide, 2: Azel",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Azel, 2: Enzalutamide",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Azel, 2: Enzalutamide",2,2,2,2
191,preferred name,2179,Epirubicin,brand name,2182,Alrubicin,1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Epirubicin, 2: Alrubicin",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Alrubicin, 2: Epirubicin",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Epirubicin, 2: Alrubicin",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Alrubicin, 2: Epirubicin",2,2,2,2
196,preferred name,2239,Erdafitinib,brand name,2241,Balversa,1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Erdafitinib, 2: Balversa",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Erdafitinib, 2: Balversa",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Balversa, 2: Erdafitinib",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Balversa, 2: Erdafitinib",2,2,2,2
197,preferred name,2242,Eribulin,brand name,2247,Brutravon,1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Eribulin, 2: Brutravon",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Brutravon, 2: Eribulin",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Eribulin, 2: Brutravon",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Eribulin, 2: Brutravon",2,2,2,2
198,preferred name,2254,Erlotinib,brand name,2259,Erlocip,2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Erlocip, 2: Erlotinib",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Erlocip, 2: Erlotinib",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Erlotinib, 2: Erlocip",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Erlotinib, 2: Erlocip",2,2,2,2
200,preferred name,2267,Estramustine,brand name,2269,Emcyt,2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Emcyt, 2: Estramustine",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Estramustine, 2: Emcyt",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Estramustine, 2: Emcyt",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Estramustine, 2: Emcyt",2,2,2,2
201,preferred name,2274,Etoposide,brand name,2279,Aside,2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Aside, 2: Etoposide",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Aside, 2: Etoposide",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Aside, 2: Etoposide",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Aside, 2: Etoposide",2,1,2,2
202,preferred name,2331,Everolimus,brand name,2334,Advacan,1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Everolimus, 2: Advacan",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Everolimus, 2: Advacan",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Advacan, 2: Everolimus",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Everolimus, 2: Advacan",I,2,2,I
203,preferred name,2346,Exemestane,brand name,2348,Aromadex,2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Aromadex, 2: Exemestane",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Aromadex, 2: Exemestane",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Aromadex, 2: Exemestane",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Exemestane, 2: Aromadex",2,2,2,2
222,preferred name,2464,Floxuridine,brand name,2469,FUDR,1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Floxuridine, 2: FUDR",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: FUDR, 2: Floxuridine",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Floxuridine, 2: FUDR",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Floxuridine, 2: FUDR",2,2,2,2
224,preferred name,2472,Fludarabine,brand name,2475,Beneflur,1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Fludarabine, 2: Beneflur",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Fludarabine, 2: Beneflur",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Fludarabine, 2: Beneflur",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Fludarabine, 2: Beneflur",2,2,2,2
225,preferred name,2480,Fluorouracil,brand name,2489,Accusite,1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Fluorouracil, 2: Accusite",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Accusite, 2: Fluorouracil",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Accusite, 2: Fluorouracil",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Accusite, 2: Fluorouracil",2,2,2,2
226,preferred name,2561,Fluoxymesterone,brand name,2562,Halotestin,2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Halotestin, 2: Fluoxymesterone",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Fluoxymesterone, 2: Halotestin",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Halotestin, 2: Fluoxymesterone",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Fluoxymesterone, 2: Halotestin",2,2,2,2
227,preferred name,2564,Flutamide,brand name,2565,Cytomid,1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Flutamide, 2: Cytomid",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Flutamide, 2: Cytomid",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Cytomid, 2: Flutamide",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Flutamide, 2: Cytomid",2,2,2,2
229,preferred name,2575,Folinic acid,brand name,2583,Antrex,2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Antrex, 2: Folinic acid",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Antrex, 2: Folinic acid",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Folinic acid, 2: Antrex",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Antrex, 2: Folinic acid",2,2,2,1
231,preferred name,2678,Formestane,brand name,2679,Lentaron,2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Lentaron, 2: Formestane",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Formestane, 2: Lentaron",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Lentaron, 2: Formestane",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Formestane, 2: Lentaron",2,2,2,2
232,preferred name,2680,Forodesine,brand name,2683,Fodosine,1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Forodesine, 2: Fodosine",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Fodosine, 2: Forodesine",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Forodesine, 2: Fodosine",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Fodosine, 2: Forodesine",2,2,2,2
234,preferred name,2689,Fostamatinib,brand name,2692,Tavalisse,2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Tavalisse, 2: Fostamatinib",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Fostamatinib, 2: Tavalisse",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Fostamatinib, 2: Tavalisse",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Tavalisse, 2: Fostamatinib",2,2,2,2
235,preferred name,2694,Fotemustine,brand name,2695,Muphoran,2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Muphoran, 2: Fotemustine",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Muphoran, 2: Fotemustine",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Fotemustine, 2: Muphoran",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Muphoran, 2: Fotemustine",2,2,2,2
237,preferred name,2699,Fulvestrant,brand name,2702,Faslodex,1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Fulvestrant, 2: Faslodex",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Fulvestrant, 2: Faslodex",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Faslodex, 2: Fulvestrant",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Fulvestrant, 2: Faslodex",2,2,2,2
242,preferred name,2718,Gefitinib,brand name,2720,Cangib,2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Cangib, 2: Gefitinib",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Gefitinib, 2: Cangib",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Gefitinib, 2: Cangib",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Cangib, 2: Gefitinib",2,2,2,2
243,preferred name,2734,Gemcitabine,brand name,2738,Gemcite,1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Gemcitabine, 2: Gemcite",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Gemcitabine, 2: Gemcite",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Gemcitabine, 2: Gemcite",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Gemcitabine, 2: Gemcite",2,2,2,2
244,preferred name,2741,Gemtuzumab ozogamicin,brand name,2742,Mylotarg,1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Gemtuzumab ozogamicin, 2: Mylotarg",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Gemtuzumab ozogamicin, 2: Mylotarg",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Mylotarg, 2: Gemtuzumab ozogamicin",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Gemtuzumab ozogamicin, 2: Mylotarg",2,2,2,2
245,preferred name,2743,Gilteritinib,brand name,2745,Xospata,2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Xospata, 2: Gilteritinib",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Xospata, 2: Gilteritinib",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Gilteritinib, 2: Xospata",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Gilteritinib, 2: Xospata",2,2,2,2
246,preferred name,2746,Glasdegib,brand name,2748,Daurismo,1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Glasdegib, 2: Daurismo",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Glasdegib, 2: Daurismo",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Daurismo, 2: Glasdegib",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Daurismo, 2: Glasdegib",2,2,2,2
248,preferred name,2752,Goserelin,brand name,2754,Novgos,2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Novgos, 2: Goserelin",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Novgos, 2: Goserelin",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Novgos, 2: Goserelin",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Goserelin, 2: Novgos",2,2,2,2
256,preferred name,2790,Histrelin,brand name,2792,Supprelin,1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Histrelin, 2: Supprelin",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Histrelin, 2: Supprelin",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Supprelin, 2: Histrelin",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Supprelin, 2: Histrelin",2,2,2,1
258,preferred name,2797,Hydrocortisone,brand name,2800,Cortef,2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Cortef, 2: Hydrocortisone",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Hydrocortisone, 2: Cortef",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Hydrocortisone, 2: Cortef",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Hydrocortisone, 2: Cortef",2,2,2,1
259,preferred name,2801,Hydroxyurea,brand name,2807,Biosupressin,1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Hydroxyurea, 2: Biosupressin",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Biosupressin, 2: Hydroxyurea",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Biosupressin, 2: Hydroxyurea",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Biosupressin, 2: Hydroxyurea",1,2,2,2
262,preferred name,2839,Ibritumomab tiuxetan,brand name,2840,Zevalin,2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Zevalin, 2: Ibritumomab tiuxetan",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Zevalin, 2: Ibritumomab tiuxetan",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Zevalin, 2: Ibritumomab tiuxetan",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Ibritumomab tiuxetan, 2: Zevalin",2,2,2,2
263,preferred name,2841,Ibrutinib,brand name,2844,Ibrunib,1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Ibrutinib, 2: Ibrunib",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Ibrunib, 2: Ibrutinib",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Ibrunib, 2: Ibrutinib",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Ibrunib, 2: Ibrutinib",2,2,2,2
264,preferred name,2848,Icotinib,brand name,2850,Conmana,2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Conmana, 2: Icotinib",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Conmana, 2: Icotinib",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Conmana, 2: Icotinib",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Icotinib, 2: Conmana",2,2,2,I
265,preferred name,2851,Idarubicin,brand name,2854,Idamycin,1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Idarubicin, 2: Idamycin",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Idamycin, 2: Idarubicin",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Idarubicin, 2: Idamycin",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Idamycin, 2: Idarubicin",2,2,2,2
267,preferred name,2862,Idelalisib,brand name,2866,Zydelig,2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Zydelig, 2: Idelalisib",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Idelalisib, 2: Zydelig",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Zydelig, 2: Idelalisib",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Idelalisib, 2: Zydelig",2,2,2,2
268,preferred name,2867,Ifosfamide,brand name,2868,Alquimid,2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Alquimid, 2: Ifosfamide",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Ifosfamide, 2: Alquimid",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Alquimid, 2: Ifosfamide",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Ifosfamide, 2: Alquimid",2,2,2,1
269,preferred name,2891,Imatinib,brand name,2897,Enliven,1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Imatinib, 2: Enliven",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Imatinib, 2: Enliven",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Enliven, 2: Imatinib",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Imatinib, 2: Enliven",1,1,2,2
272,preferred name,2917,Infigratinib,brand name,2919,Truseltiq,2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Truseltiq, 2: Infigratinib",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Truseltiq, 2: Infigratinib",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Infigratinib, 2: Truseltiq",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Truseltiq, 2: Infigratinib",2,2,2,2
273,preferred name,2920,Inotuzumab ozogamicin,brand name,2922,Besponsa,1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Inotuzumab ozogamicin, 2: Besponsa",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Inotuzumab ozogamicin, 2: Besponsa",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Besponsa, 2: Inotuzumab ozogamicin",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Inotuzumab ozogamicin, 2: Besponsa",2,2,2,2
274,preferred name,2923,Interferon alfa-2a,brand name,2924,Laroferon,1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Interferon alfa-2a, 2: Laroferon",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Laroferon, 2: Interferon alfa-2a",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Laroferon, 2: Interferon alfa-2a",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Interferon alfa-2a, 2: Laroferon",1,2,2,1
275,preferred name,2926,Interferon alfa-2b,brand name,2927,Advaferon,1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Interferon alfa-2b, 2: Advaferon",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Interferon alfa-2b, 2: Advaferon",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Advaferon, 2: Interferon alfa-2b",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Advaferon, 2: Interferon alfa-2b",1,2,2,2
276,preferred name,2961,Interferon gamma-1b,brand name,2962,Actimmune,1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Interferon gamma-1b, 2: Actimmune",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Actimmune, 2: Interferon gamma-1b",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Interferon gamma-1b, 2: Actimmune",1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Interferon gamma-1b, 2: Actimmune",2,2,2,2
279,preferred name,2967,Ipilimumab,brand name,2970,Yervoy,1,2,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more effective:
Options: 1: Ipilimumab, 2: Yervoy",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more safe:
Options: 1: Yervoy, 2: Ipilimumab",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more associated with side effects:
Options: 1: Yervoy, 2: Ipilimumab",2,1,"The following two drugs are indicated for the same condition, you can only choose one of the drugs. Which of the following is more likely to make me sick:
Options: 1: Yervoy, 2: Ipilimumab",2,2,2,2
